date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-04-09,화,18:30,사직,busan,롯데,두산,True,우천취소,우천취소
2019-06-14,금,19:00,사직,busan,롯데,KIA,True,우천취소,우천취소
2019-06-26,수,18:30,사직,busan,롯데,KT,True,우천취소,우천취소
2019-07-10,수,18:30,사직,busan,롯데,NC,True,우천취소,우천취소
2019-09-21,토,17:00,사직,busan,롯데,NC,True,우천취소,우천취소
2019-09-22,일,14:00,사직,busan,롯데,NC,True,우천취소,우천취소
2019-09-27,금,18:30,사직,busan,롯데,키움,True,우천취소,우천취소
2019-09-28,토,17:00,사직,busan,롯데,키움,True,우천취소,우천취소
2020-05-09,토,17:00,사직,busan,롯데,SK,True,우천취소,우천취소
2020-06-24,수,18:30,사직,busan,롯데,KIA,True,우천취소,우천취소
2020-06-25,목,15:00,사직,busan,롯데,KIA,True,우천취소,우천취소
2020-06-25,목,18:30,사직,busan,롯데,KIA,True,우천취소,우천취소
2020-07-12,일,17:00,사직,busan,롯데,두산,True,우천취소,우천취소
2020-07-13,월,18:30,사직,busan,롯데,두산,True,우천취소,우천취소
2020-07-29,수,18:30,사직,busan,롯데,NC,True,우천취소,우천취소
2020-07-30,목,18:30,사직,busan,롯데,NC,True,우천취소,우천취소
2020-08-11,화,18:30,사직,busan,롯데,NC,True,우천취소,우천취소
2020-09-05,토,17:00,사직,busan,롯데,LG,True,우천취소,우천취소
2021-05-16,일,14:00,사직,busan,롯데,KT,True,우천취소,우천취소
2021-05-17,월,18:30,사직,busan,롯데,KT,True,우천취소,우천취소
2021-05-28,금,18:30,사직,busan,롯데,NC,True,그라운드사정,그라운드사정
2021-06-11,금,18:30,사직,busan,롯데,KIA,True,우천취소,우천취소
2021-06-12,토,14:00,사직,busan,롯데,KIA,True,우천취소,우천취소
2021-06-12,토,17:00,사직,busan,롯데,KIA,True,우천취소,우천취소
2021-07-06,화,18:30,사직,busan,롯데,LG,True,우천취소,우천취소
2021-07-07,수,18:30,사직,busan,롯데,LG,True,우천취소,우천취소
2021-07-08,목,18:30,사직,busan,롯데,LG,True,우천취소,우천취소
2021-08-19,목,18:30,사직,busan,롯데,키움,True,우천취소,우천취소
2021-08-21,토,18:00,사직,busan,롯데,KT,True,우천취소,우천취소
2021-08-24,화,18:30,사직,busan,롯데,KT,True,우천취소,우천취소
2021-09-01,수,18:30,사직,busan,롯데,LG,True,우천취소,우천취소
2021-09-02,목,18:30,사직,busan,롯데,한화,True,우천취소,우천취소
2022-06-29,수,18:30,사직,busan,롯데,두산,True,우천취소,우천취소
2022-08-16,화,18:30,사직,busan,롯데,두산,True,우천취소,우천취소
2022-09-03,토,17:00,사직,busan,롯데,LG,True,우천취소,우천취소
2023-04-25,화,18:30,사직,busan,롯데,한화,True,우천취소,우천취소
2023-04-29,토,17:00,사직,busan,롯데,키움,True,우천취소,우천취소
2023-05-05,금,14:00,사직,busan,롯데,삼성,True,우천취소,우천취소
2023-05-06,토,17:00,사직,busan,롯데,삼성,True,우천취소,우천취소
2023-05-07,일,14:00,사직,busan,롯데,삼성,True,우천취소,우천취소
2023-06-29,목,18:30,사직,busan,롯데,삼성,True,우천취소,우천취소
2023-07-07,금,18:30,사직,busan,롯데,LG,True,우천취소,우천취소
2023-09-01,금,18:30,사직,busan,롯데,두산,True,우천취소,우천취소
2023-09-02,토,17:00,사직,busan,롯데,두산,True,우천취소,우천취소
2023-09-16,토,17:00,사직,busan,롯데,키움,True,우천취소,우천취소
2024-04-20,토,17:00,사직,busan,롯데,KT,True,우천취소,우천취소
2024-04-23,화,18:30,사직,busan,롯데,SSG,True,우천취소,우천취소
2024-05-07,화,18:30,사직,busan,롯데,한화,True,우천취소,우천취소
2024-06-08,토,17:00,사직,busan,롯데,SSG,True,우천취소,우천취소
2024-06-29,토,17:00,사직,busan,롯데,한화,True,우천취소,우천취소
2024-06-30,일,14:00,사직,busan,롯데,한화,True,우천취소,우천취소
2024-06-30,일,17:00,사직,busan,롯데,한화,True,그라운드사정,그라운드사정
2024-07-14,일,17:00,사직,busan,롯데,KT,True,우천취소,우천취소
2024-07-24,수,18:30,사직,busan,롯데,LG,True,그라운드사정,그라운드사정
2024-08-08,목,18:30,사직,busan,롯데,NC,True,우천취소,우천취소
