date,day,time,stadium,stadium_id,home,away,cancelled,reason,note,daily_temp_max,daily_temp_min,daily_temp_mean,daily_precip_sum,daily_rain_sum,daily_precip_hours,daily_wind_max,daily_wind_gust_max,pre_game_precip,pre_game_temp,pre_game_humidity,pre_game_wind,prev_day_precip
2019-03-23,토,14:00,사직,busan,롯데,키움,False,정상진행,-,11.8,2.1,5.9,0.0,0.0,0.0,21.6,52.2,0.0,10.5,29.8,15.2,0.0
2019-03-24,일,14:00,사직,busan,롯데,키움,False,정상진행,-,10.6,-1.3,5.1,0.0,0.0,0.0,18.9,41.8,0.0,9.2,36.0,11.5,0.0
2019-03-26,화,18:30,사직,busan,롯데,삼성,False,정상진행,-,19.1,2.2,10.9,0.0,0.0,0.0,20.0,45.7,0.0,17.7,31.2,13.3,0.0
2019-03-27,수,18:30,사직,busan,롯데,삼성,False,정상진행,-,17.1,5.5,12.1,0.0,0.0,0.0,29.2,65.9,0.0,15.6,54.0,24.1,0.0
2019-03-28,목,18:30,사직,busan,롯데,삼성,False,정상진행,-,14.8,7.2,11.2,0.2,0.2,2.0,17.3,39.6,0.0,12.7,72.0,12.7,0.0
2019-04-05,금,18:30,사직,busan,롯데,한화,False,정상진행,-,18.8,6.8,12.9,0.0,0.0,0.0,20.2,45.0,0.0,17.5,62.5,16.2,0.0
2019-04-06,토,17:00,사직,busan,롯데,한화,False,정상진행,-,18.4,5.6,12.4,0.0,0.0,0.0,15.9,37.8,0.0,17.6,41.8,14.1,0.0
2019-04-07,일,14:00,사직,busan,롯데,한화,False,정상진행,-,16.3,7.0,11.9,3.8,3.8,10.0,16.3,35.3,1.8,15.6,61.5,10.3,0.0
2019-04-09,화,18:30,사직,busan,롯데,두산,True,우천취소,우천취소,13.9,7.8,10.5,8.4,8.4,5.0,31.9,72.0,0.0,11.8,57.5,25.0,0.0
2019-04-10,수,18:30,사직,busan,롯데,두산,False,정상진행,-,11.9,7.8,9.5,12.0,12.0,8.0,35.7,79.6,0.0,10.7,67.5,12.1,8.4
2019-04-11,목,18:30,사직,busan,롯데,두산,False,정상진행,-,12.8,4.8,9.0,0.0,0.0,0.0,14.6,32.0,0.0,11.1,60.2,12.4,12.0
2019-04-16,화,18:30,사직,busan,롯데,KIA,False,정상진행,-,21.3,5.6,13.7,0.0,0.0,0.0,12.8,29.9,0.0,17.9,42.5,9.5,0.0
2019-04-17,수,18:30,사직,busan,롯데,KIA,False,정상진행,-,22.5,9.4,15.6,0.1,0.1,1.0,13.5,30.6,0.0,20.9,34.0,10.3,0.0
