date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-03-23,토,14:00,창원,changwon,NC,삼성,False,정상진행,-
2019-03-24,일,14:00,창원,changwon,NC,삼성,False,정상진행,-
2019-03-26,화,18:30,창원,changwon,NC,KT,False,정상진행,-
2019-03-27,수,18:30,창원,changwon,NC,KT,False,정상진행,-
2019-03-28,목,18:30,창원,changwon,NC,KT,False,정상진행,-
2019-04-02,화,18:30,창원,changwon,NC,키움,False,정상진행,-
2019-04-03,수,18:30,창원,changwon,NC,키움,False,정상진행,-
2019-04-04,목,18:30,창원,changwon,NC,키움,False,정상진행,-
2019-04-12,금,19:00,창원,changwon,NC,롯데,False,정상진행,-
2019-04-13,토,17:00,창원,changwon,NC,롯데,False,정상진행,-
2019-04-14,일,14:00,창원,changwon,NC,롯데,False,정상진행,-
2019-04-16,화,18:30,창원,changwon,NC,LG,False,정상진행,-
2019-04-17,수,18:30,창원,changwon,NC,LG,False,정상진행,-
2019-04-18,목,18:30,창원,changwon,NC,LG,False,정상진행,-
2019-04-26,금,19:00,창원,changwon,NC,한화,True,우천취소,우천취소
2019-04-27,토,17:00,창원,changwon,NC,한화,False,정상진행,-
2019-04-28,일,14:00,창원,changwon,NC,한화,False,정상진행,-
2019-05-03,금,19:00,창원,changwon,NC,KIA,False,정상진행,-
2019-05-04,토,17:00,창원,changwon,NC,KIA,False,정상진행,-
2019-05-05,일,14:00,창원,changwon,NC,KIA,False,정상진행,-
2019-05-10,금,19:00,창원,changwon,NC,두산,False,정상진행,-
2019-05-11,토,17:00,창원,changwon,NC,두산,False,정상진행,-
2019-05-12,일,14:00,창원,changwon,NC,두산,False,정상진행,-
2019-05-14,화,18:30,창원,changwon,NC,SK,False,정상진행,-
2019-05-15,수,18:30,창원,changwon,NC,SK,False,정상진행,-
2019-05-16,목,18:30,창원,changwon,NC,SK,False,정상진행,-
2019-05-24,금,19:00,창원,changwon,NC,SK,False,정상진행,-
