date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-04-26,금,19:00,창원,changwon,NC,한화,True,우천취소,우천취소
2019-06-26,수,18:30,창원,changwon,NC,한화,True,우천취소,우천취소
2019-06-29,토,17:00,창원,changwon,NC,LG,True,우천취소,우천취소
2019-08-06,화,18:30,창원,changwon,NC,삼성,True,우천취소,우천취소
2019-08-21,수,18:30,창원,changwon,NC,두산,True,우천취소,우천취소
2020-05-09,토,17:00,창원,changwon,NC,LG,True,우천취소,우천취소
2020-07-22,수,18:30,창원,changwon,NC,삼성,True,우천취소,우천취소
2020-07-23,목,18:30,창원,changwon,NC,삼성,True,우천취소,우천취소
2021-04-03,토,14:00,창원,changwon,NC,LG,True,우천취소,우천취소
2021-05-16,일,14:00,창원,changwon,NC,KIA,True,우천취소,우천취소
2021-05-17,월,18:30,창원,changwon,NC,KIA,True,우천취소,우천취소
2021-06-03,목,18:30,창원,changwon,NC,두산,True,우천취소,우천취소
2021-06-15,화,18:30,창원,changwon,NC,KT,True,우천취소,우천취소
2021-07-03,토,18:00,창원,changwon,NC,삼성,True,우천취소,우천취소
2021-07-05,월,18:30,창원,changwon,NC,삼성,True,우천취소,우천취소
2021-08-21,토,18:00,창원,changwon,NC,LG,True,우천취소,우천취소
2021-08-23,월,18:30,창원,changwon,NC,LG,True,그라운드사정,그라운드사정
2021-08-24,화,18:30,창원,changwon,NC,LG,True,우천취소,우천취소
2021-08-25,수,18:30,창원,changwon,NC,두산,True,우천취소,우천취소
2021-09-17,금,15:00,창원,changwon,NC,LG,True,우천취소,우천취소
2021-09-29,수,18:30,창원,changwon,NC,KIA,True,우천취소,우천취소
2022-06-05,일,17:00,창원,changwon,NC,롯데,True,우천취소,우천취소
2022-06-14,화,18:30,창원,changwon,NC,KIA,True,우천취소,우천취소
2022-07-01,금,18:30,창원,changwon,NC,삼성,True,그라운드사정,그라운드사정
2022-07-31,일,17:00,창원,changwon,NC,키움,True,우천취소,우천취소
2022-08-02,화,18:30,창원,changwon,NC,KT,True,우천취소,우천취소
2022-08-13,토,18:00,창원,changwon,NC,LG,True,우천취소,우천취소
2022-08-16,화,18:30,창원,changwon,NC,한화,True,우천취소,우천취소
2023-05-04,목,18:30,창원,changwon,NC,LG,True,우천취소,우천취소
2023-05-05,금,14:00,창원,changwon,NC,KIA,True,우천취소,우천취소
2023-05-06,토,17:00,창원,changwon,NC,KIA,True,우천취소,우천취소
2023-05-07,일,14:00,창원,changwon,NC,KIA,True,우천취소,우천취소
2023-05-18,목,18:30,창원,changwon,NC,SSG,True,우천취소,우천취소
2023-05-28,일,14:00,창원,changwon,NC,한화,True,우천취소,우천취소
2023-06-01,목,18:30,창원,changwon,NC,두산,True,우천취소,우천취소
2023-06-25,일,17:00,창원,changwon,NC,한화,True,우천취소,우천취소
2023-07-07,금,18:30,창원,changwon,NC,삼성,True,우천취소,우천취소
2023-07-11,화,18:30,창원,changwon,NC,롯데,True,그라운드사정,그라운드사정
2023-09-14,목,18:30,창원,changwon,NC,LG,True,우천취소,우천취소
2023-09-16,토,17:00,창원,changwon,NC,삼성,True,우천취소,우천취소
2024-03-28,목,18:30,창원,changwon,NC,키움,True,우천취소,우천취소
2024-04-18,목,18:30,창원,changwon,NC,한화,True,기타취소,미세먼지취소
2024-06-29,토,17:00,창원,changwon,NC,LG,True,우천취소,우천취소
2024-06-30,일,14:00,창원,changwon,NC,LG,True,우천취소,우천취소
2024-07-02,화,18:30,창원,changwon,NC,SSG,True,우천취소,우천취소
2024-07-14,일,17:00,창원,changwon,NC,키움,True,우천취소,우천취소
2024-07-16,화,18:30,창원,changwon,NC,한화,True,우천취소,우천취소
2024-08-03,토,18:00,창원,changwon,NC,KT,True,우천취소,우천취소
2024-08-14,수,18:30,창원,changwon,NC,SSG,True,우천취소,우천취소
2024-09-20,금,18:30,창원,changwon,NC,롯데,True,우천취소,우천취소
