date,day,time,stadium,stadium_id,home,away,cancelled,reason,note,daily_temp_max,daily_temp_min,daily_temp_mean,daily_precip_sum,daily_rain_sum,daily_precip_hours,daily_wind_max,daily_wind_gust_max,pre_game_precip,pre_game_temp,pre_game_humidity,pre_game_wind,prev_day_precip
2019-03-23,토,14:00,창원,changwon,NC,삼성,False,정상진행,-,12.0,2.4,5.9,0.1,0.1,1.0,26.4,59.0,0.0,10.6,27.5,14.6,0.0
2019-03-24,일,14:00,창원,changwon,NC,삼성,False,정상진행,-,11.4,-1.5,5.1,0.0,0.0,0.0,15.0,35.6,0.0,9.7,33.5,9.2,0.1
2019-03-26,화,18:30,창원,changwon,NC,KT,False,정상진행,-,19.3,2.8,11.4,0.0,0.0,0.0,20.3,47.9,0.0,17.6,32.2,13.0,0.0
2019-03-27,수,18:30,창원,changwon,NC,KT,False,정상진행,-,18.1,6.2,12.5,0.0,0.0,0.0,27.1,62.6,0.0,15.9,48.8,21.8,0.0
2019-03-28,목,18:30,창원,changwon,NC,KT,False,정상진행,-,18.0,8.0,11.8,0.1,0.1,1.0,15.5,37.4,0.0,14.0,69.2,12.3,0.0
2019-04-02,화,18:30,창원,changwon,NC,키움,False,정상진행,-,14.3,-0.1,7.1,0.0,0.0,0.0,11.1,35.3,0.0,13.2,28.2,8.8,0.0
2019-04-03,수,18:30,창원,changwon,NC,키움,False,정상진행,-,14.4,0.2,7.6,0.0,0.0,0.0,16.5,37.1,0.0,12.7,31.0,12.3,0.0
2019-04-04,목,18:30,창원,changwon,NC,키움,False,정상진행,-,17.6,1.1,9.5,0.0,0.0,0.0,17.2,40.3,0.0,15.4,40.2,16.6,0.0
2019-04-12,금,19:00,창원,changwon,NC,롯데,False,정상진행,-,17.1,5.7,11.1,0.1,0.1,1.0,16.5,39.2,0.0,13.5,51.5,8.6,0.0
2019-04-13,토,17:00,창원,changwon,NC,롯데,False,정상진행,-,16.9,7.8,11.9,0.0,0.0,0.0,14.2,34.6,0.0,16.5,37.0,13.7,0.1
2019-04-14,일,14:00,창원,changwon,NC,롯데,False,정상진행,-,14.8,8.4,11.8,0.9,0.9,3.0,16.0,37.8,0.2,14.6,55.2,11.9,0.0
2019-04-16,화,18:30,창원,changwon,NC,LG,False,정상진행,-,22.0,4.6,13.3,0.0,0.0,0.0,11.2,27.0,0.0,18.9,38.8,10.0,0.0
2019-04-17,수,18:30,창원,changwon,NC,LG,False,정상진행,-,22.0,9.5,15.2,0.1,0.1,1.0,12.2,29.5,0.0,20.6,35.2,9.9,0.0
2019-04-18,목,18:30,창원,changwon,NC,LG,False,정상진행,-,20.9,10.6,15.3,0.0,0.0,0.0,20.1,47.2,0.0,18.0,65.2,17.6,0.1
2019-04-26,금,19:00,창원,changwon,NC,한화,True,우천취소,우천취소,14.5,9.0,12.2,14.3,14.3,22.0,14.8,34.6,7.9,11.1,87.5,9.1,3.5
2019-04-27,토,17:00,창원,changwon,NC,한화,False,정상진행,-,17.3,7.1,11.6,0.0,0.0,0.0,15.0,37.4,0.0,16.0,46.5,10.7,14.3
2019-04-28,일,14:00,창원,changwon,NC,한화,False,정상진행,-,15.8,9.3,12.0,1.7,1.7,4.0,10.5,25.6,0.3,13.2,63.2,5.1,0.0
2019-05-03,금,19:00,창원,changwon,NC,KIA,False,정상진행,-,24.9,8.6,15.9,0.0,0.0,0.0,13.7,32.0,0.0,19.7,59.0,8.7,0.0
2019-05-04,토,17:00,창원,changwon,NC,KIA,False,정상진행,-,25.9,9.4,17.2,0.0,0.0,0.0,10.5,26.3,0.0,23.7,50.0,9.1,0.0
2019-05-05,일,14:00,창원,changwon,NC,KIA,False,정상진행,-,24.9,11.6,18.0,0.0,0.0,0.0,13.4,32.0,0.0,23.9,47.8,8.3,0.0
2019-05-10,금,19:00,창원,changwon,NC,두산,False,정상진행,-,25.1,9.5,17.1,0.0,0.0,0.0,10.0,25.6,0.0,20.1,43.5,7.3,0.0
2019-05-11,토,17:00,창원,changwon,NC,두산,False,정상진행,-,26.5,11.4,18.8,0.0,0.0,0.0,13.3,32.0,0.0,24.9,33.0,11.2,0.0
2019-05-12,일,14:00,창원,changwon,NC,두산,False,정상진행,-,26.1,13.4,19.1,0.0,0.0,0.0,14.1,33.8,0.0,25.4,26.8,12.4,0.0
2019-05-14,화,18:30,창원,changwon,NC,SK,False,정상진행,-,24.2,15.5,19.5,4.5,4.5,7.0,10.8,28.1,0.2,22.9,71.8,7.2,0.0
2019-05-15,수,18:30,창원,changwon,NC,SK,False,정상진행,-,25.0,15.6,20.4,0.0,0.0,0.0,12.2,31.3,0.0,23.8,53.8,9.8,4.5
2019-05-16,목,18:30,창원,changwon,NC,SK,False,정상진행,-,27.4,15.5,21.3,0.0,0.0,0.0,14.3,34.6,0.0,25.5,51.5,12.4,0.0
2019-05-24,금,19:00,창원,changwon,NC,SK,False,정상진행,-,28.2,15.4,21.7,0.0,0.0,0.0,17.0,40.3,0.0,24.0,66.0,12.2,0.0
2019-05-25,토,17:00,창원,changwon,NC,SK,False,정상진행,-,30.7,15.9,23.0,0.0,0.0,0.0,11.0,26.6,0.0,29.4,42.2,9.7,0.0
2019-05-26,일,14:00,창원,changwon,NC,SK,False,정상진행,-,27.6,16.6,22.0,0.0,0.0,0.0,17.5,41.4,0.0,27.3,36.8,13.4,0.0
2019-05-28,화,18:30,창원,changwon,NC,롯데,False,정상진행,-,23.1,13.7,18.0,0.0,0.0,0.0,21.4,48.6,0.0,22.5,37.0,10.8,35.1
2019-05-29,수,18:30,창원,changwon,NC,롯데,False,정상진행,-,27.4,11.8,20.4,0.0,0.0,0.0,13.5,32.8,0.0,26.5,38.5,9.5,0.0
