date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-03-29,금,18:30,대구,daegu,삼성,두산,False,정상진행,-
2019-03-30,토,17:00,대구,daegu,삼성,두산,False,정상진행,-
2019-03-31,일,14:00,대구,daegu,삼성,두산,False,정상진행,-
2019-04-02,화,18:30,대구,daegu,삼성,KIA,False,정상진행,-
2019-04-03,수,18:30,대구,daegu,삼성,KIA,False,정상진행,-
2019-04-04,목,18:30,대구,daegu,삼성,KIA,False,정상진행,-
2019-04-12,금,18:30,대구,daegu,삼성,KT,False,정상진행,-
2019-04-13,토,17:00,대구,daegu,삼성,KT,False,정상진행,-
2019-04-14,일,14:00,대구,daegu,삼성,KT,False,정상진행,-
2019-04-23,화,18:30,대구,daegu,삼성,SK,True,우천취소,우천취소
2019-04-24,수,18:30,대구,daegu,삼성,SK,False,정상진행,-
2019-04-25,목,18:30,대구,daegu,삼성,SK,False,정상진행,-
2019-04-26,금,18:30,대구,daegu,삼성,LG,True,우천취소,우천취소
2019-04-27,토,17:00,대구,daegu,삼성,LG,False,정상진행,-
2019-04-28,일,14:00,대구,daegu,삼성,LG,False,정상진행,-
2019-05-07,화,18:30,대구,daegu,삼성,NC,False,정상진행,-
2019-05-08,수,18:30,대구,daegu,삼성,NC,False,정상진행,-
2019-05-09,목,18:30,대구,daegu,삼성,NC,False,정상진행,-
2019-05-10,금,18:30,대구,daegu,삼성,롯데,False,정상진행,-
2019-05-11,토,17:00,대구,daegu,삼성,롯데,False,정상진행,-
2019-05-12,일,14:00,대구,daegu,삼성,롯데,False,정상진행,-
2019-05-21,화,18:30,대구,daegu,삼성,한화,False,정상진행,-
2019-05-22,수,18:30,대구,daegu,삼성,한화,False,정상진행,-
2019-05-23,목,18:30,대구,daegu,삼성,한화,False,정상진행,-
2019-05-24,금,18:30,대구,daegu,삼성,키움,False,정상진행,-
2019-05-25,토,17:00,대구,daegu,삼성,키움,False,정상진행,-
2019-05-26,일,14:00,대구,daegu,삼성,키움,False,정상진행,-
2019-06-04,화,18:30,대구,daegu,삼성,NC,False,정상진행,-
2019-06-05,수,18:30,대구,daegu,삼성,NC,False,정상진행,-
2019-06-06,목,17:00,대구,daegu,삼성,NC,False,정상진행,-
2019-06-14,금,18:30,대구,daegu,삼성,KT,False,정상진행,-
2019-06-15,토,17:00,대구,daegu,삼성,KT,False,정상진행,-
2019-06-16,일,17:00,대구,daegu,삼성,KT,False,정상진행,-
2019-06-18,화,18:30,대구,daegu,삼성,LG,False,정상진행,-
2019-06-19,수,18:30,대구,daegu,삼성,LG,False,정상진행,-
2019-06-20,목,18:30,대구,daegu,삼성,LG,False,정상진행,-
2019-06-28,금,18:30,대구,daegu,삼성,SK,False,정상진행,-
2019-06-29,토,17:00,대구,daegu,삼성,SK,True,우천취소,우천취소
2019-06-30,일,17:00,대구,daegu,삼성,SK,False,정상진행,-
2019-07-09,화,18:30,대구,daegu,삼성,KIA,False,정상진행,-
2019-07-10,수,18:30,대구,daegu,삼성,KIA,True,우천취소,우천취소
2019-07-11,목,18:30,대구,daegu,삼성,KIA,False,정상진행,-
2019-07-26,금,18:30,대구,daegu,삼성,한화,False,정상진행,-
2019-07-27,토,18:00,대구,daegu,삼성,한화,False,정상진행,-
2019-07-28,일,18:00,대구,daegu,삼성,한화,False,정상진행,-
2019-07-30,화,18:30,대구,daegu,삼성,롯데,False,정상진행,-
2019-07-31,수,18:30,대구,daegu,삼성,롯데,False,정상진행,-
2019-08-01,목,18:30,대구,daegu,삼성,롯데,False,정상진행,-
2019-08-08,목,18:30,대구,daegu,삼성,롯데,False,정상진행,-
2019-08-09,금,18:30,대구,daegu,삼성,롯데,False,정상진행,-
2019-08-10,토,18:00,대구,daegu,삼성,KIA,False,정상진행,-
