date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-04-23,화,18:30,대구,daegu,삼성,SK,True,우천취소,우천취소
2019-04-26,금,18:30,대구,daegu,삼성,LG,True,우천취소,우천취소
2019-06-29,토,17:00,대구,daegu,삼성,SK,True,우천취소,우천취소
2019-07-10,수,18:30,대구,daegu,삼성,KIA,True,우천취소,우천취소
2019-09-12,목,17:00,대구,daegu,삼성,한화,True,우천취소,우천취소
2020-06-12,금,18:30,대구,daegu,삼성,KT,True,우천취소,우천취소
2020-07-28,화,18:30,대구,daegu,삼성,한화,True,우천취소,우천취소
2020-09-05,토,17:00,대구,daegu,삼성,NC,True,우천취소,우천취소
2020-09-06,일,17:00,대구,daegu,삼성,NC,True,우천취소,우천취소
2021-05-20,목,18:30,대구,daegu,삼성,키움,True,우천취소,우천취소
2021-06-25,금,18:30,대구,daegu,삼성,LG,True,우천취소,우천취소
2021-07-06,화,18:30,대구,daegu,삼성,KT,True,우천취소,우천취소
2021-07-07,수,18:30,대구,daegu,삼성,KT,True,우천취소,우천취소
2021-08-10,화,18:30,대구,daegu,삼성,두산,True,우천취소,우천취소
2021-08-21,토,18:00,대구,daegu,삼성,SSG,True,우천취소,우천취소
2021-08-23,월,18:30,대구,daegu,삼성,SSG,True,우천취소,우천취소
2021-09-01,수,18:30,대구,daegu,삼성,키움,True,우천취소,우천취소
2021-09-29,수,18:30,대구,daegu,삼성,SSG,True,우천취소,우천취소
2022-05-13,금,18:30,대구,daegu,삼성,두산,True,우천취소,우천취소
2022-06-05,일,17:00,대구,daegu,삼성,두산,True,우천취소,우천취소
2022-08-11,목,18:30,대구,daegu,삼성,KIA,True,우천취소,우천취소
2022-08-20,토,18:00,대구,daegu,삼성,NC,True,그라운드사정,그라운드사정
2022-08-30,화,18:30,대구,daegu,삼성,SSG,True,우천취소,우천취소
2023-04-05,수,18:30,대구,daegu,삼성,한화,True,우천취소,우천취소
2023-04-25,화,18:30,대구,daegu,삼성,두산,True,우천취소,우천취소
2023-05-18,목,18:30,대구,daegu,삼성,KIA,True,우천취소,우천취소
2023-09-20,수,18:30,대구,daegu,삼성,SSG,True,우천취소,우천취소
2024-04-03,수,18:30,대구,daegu,삼성,키움,True,우천취소,우천취소
2024-05-05,일,14:00,대구,daegu,삼성,롯데,True,우천취소,우천취소
2024-05-07,화,18:30,대구,daegu,삼성,KIA,True,우천취소,우천취소
2024-06-22,토,17:00,대구,daegu,삼성,두산,True,우천취소,우천취소
2024-07-09,화,18:30,대구,daegu,삼성,NC,True,우천취소,우천취소
2024-09-21,토,17:00,대구,daegu,삼성,키움,True,우천취소,우천취소
