date,day,time,stadium,stadium_id,home,away,cancelled,reason,note,daily_temp_max,daily_temp_min,daily_temp_mean,daily_precip_sum,daily_rain_sum,daily_precip_hours,daily_wind_max,daily_wind_gust_max,pre_game_precip,pre_game_temp,pre_game_humidity,pre_game_wind,prev_day_precip
2019-03-29,금,18:30,대구,daegu,삼성,두산,False,정상진행,-,19.6,8.5,13.1,0.0,0.0,0.0,13.8,28.1,0.0,18.8,20.2,9.2,0.1
2019-03-30,토,17:00,대구,daegu,삼성,두산,False,정상진행,-,15.6,4.2,9.8,2.4,2.4,6.0,21.2,48.6,0.0,14.9,25.8,18.6,0.0
2019-03-31,일,14:00,대구,daegu,삼성,두산,False,정상진행,-,11.2,2.8,6.1,0.0,0.0,0.0,24.3,53.6,0.0,10.0,28.2,23.2,2.4
2019-04-02,화,18:30,대구,daegu,삼성,KIA,False,정상진행,-,13.7,-1.3,6.8,0.0,0.0,0.0,16.6,38.2,0.0,13.1,15.8,14.9,0.1
2019-04-03,수,18:30,대구,daegu,삼성,KIA,False,정상진행,-,15.0,-0.4,8.0,0.0,0.0,0.0,14.3,32.8,0.0,14.5,14.0,11.8,0.0
2019-04-04,목,18:30,대구,daegu,삼성,KIA,False,정상진행,-,20.5,0.6,10.7,0.0,0.0,0.0,17.8,41.8,0.0,19.3,14.8,16.0,0.0
2019-04-12,금,18:30,대구,daegu,삼성,KT,False,정상진행,-,17.4,3.5,11.0,0.0,0.0,0.0,14.8,35.6,0.0,16.5,25.8,9.3,0.0
2019-04-13,토,17:00,대구,daegu,삼성,KT,False,정상진행,-,18.8,5.2,12.3,0.0,0.0,0.0,20.2,44.6,0.0,18.0,26.0,19.4,0.0
2019-04-14,일,14:00,대구,daegu,삼성,KT,False,정상진행,-,15.8,6.2,11.3,1.3,1.3,2.0,23.9,49.7,0.5,15.4,39.5,19.7,0.0
2019-04-23,화,18:30,대구,daegu,삼성,SK,True,우천취소,우천취소,24.1,10.1,16.4,9.2,9.2,10.0,15.0,34.9,5.0,18.1,74.8,5.8,0.0
2019-04-24,수,18:30,대구,daegu,삼성,SK,False,정상진행,-,23.4,14.4,18.4,11.3,11.3,11.0,9.4,32.0,0.0,22.6,63.8,7.8,9.2
2019-04-25,목,18:30,대구,daegu,삼성,SK,False,정상진행,-,17.7,11.0,14.6,0.3,0.3,3.0,20.3,45.0,0.1,15.1,67.5,14.4,11.3
