date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-03-29,금,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2019-03-30,토,17:00,한밭,daejeon,한화,NC,False,정상진행,-
2019-03-31,일,14:00,한밭,daejeon,한화,NC,False,정상진행,-
2019-04-02,화,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2019-04-03,수,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2019-04-04,목,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2019-04-09,화,18:30,한밭,daejeon,한화,SK,True,우천취소,우천취소
2019-04-10,수,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2019-04-11,목,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2019-04-19,금,18:30,한밭,daejeon,한화,삼성,False,정상진행,-
2019-04-20,토,17:00,한밭,daejeon,한화,삼성,False,정상진행,-
2019-04-21,일,14:00,한밭,daejeon,한화,삼성,False,정상진행,-
2019-04-23,화,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2019-04-24,수,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2019-04-25,목,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2019-04-30,화,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2019-05-01,수,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2019-05-02,목,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2019-05-03,금,18:30,한밭,daejeon,한화,KT,False,정상진행,-
2019-05-04,토,17:00,한밭,daejeon,한화,KT,False,정상진행,-
2019-05-05,일,14:00,한밭,daejeon,한화,KT,False,정상진행,-
2019-05-14,화,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2019-05-15,수,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2019-05-16,목,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2019-05-17,금,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2019-05-18,토,17:00,한밭,daejeon,한화,KIA,False,정상진행,-
2019-05-19,일,14:00,한밭,daejeon,한화,KIA,False,정상진행,-
2019-05-28,화,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2019-05-29,수,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2019-05-30,목,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2019-06-07,금,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2019-06-08,토,17:00,한밭,daejeon,한화,LG,False,정상진행,-
2019-06-09,일,17:00,한밭,daejeon,한화,LG,False,정상진행,-
2019-06-11,화,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2019-06-12,수,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2019-06-13,목,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2019-06-18,화,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2019-06-19,수,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2019-06-20,목,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2019-06-21,금,18:30,한밭,daejeon,한화,삼성,False,정상진행,-
2019-06-22,토,17:00,한밭,daejeon,한화,삼성,False,정상진행,-
2019-06-23,일,17:00,한밭,daejeon,한화,삼성,False,정상진행,-
2019-06-28,금,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2019-06-29,토,17:00,한밭,daejeon,한화,키움,True,우천취소,우천취소
2019-06-30,일,17:00,한밭,daejeon,한화,키움,False,정상진행,-
2019-07-05,금,18:30,한밭,daejeon,한화,KT,False,정상진행,-
2019-07-06,토,18:00,한밭,daejeon,한화,KT,False,정상진행,-
2019-07-07,일,18:00,한밭,daejeon,한화,KT,False,정상진행,-
2019-07-09,화,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2019-07-10,수,18:30,한밭,daejeon,한화,SK,True,우천취소,우천취소
2019-07-11,목,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2019-08-03,토,18:00,한밭,daejeon,한화,SK,False,정상진행,-
2019-08-04,일,17:00,한밭,daejeon,한화,SK,False,정상진행,-
2019-08-13,화,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2019-08-14,수,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2019-08-20,화,18:30,한밭,daejeon,한화,삼성,False,정상진행,-
2019-08-21,수,18:30,한밭,daejeon,한화,삼성,True,우천취소,우천취소
2019-08-24,토,18:00,한밭,daejeon,한화,두산,False,정상진행,-
2019-08-25,일,17:00,한밭,daejeon,한화,두산,False,정상진행,-
2019-08-31,토,18:00,한밭,daejeon,한화,KT,False,정상진행,-
2019-09-01,일,14:00,한밭,daejeon,한화,KT,False,정상진행,-
2019-09-03,화,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2019-09-04,수,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2019-09-07,토,17:00,한밭,daejeon,한화,롯데,False,정상진행,-
2019-09-08,일,14:00,한밭,daejeon,한화,롯데,False,정상진행,-
2019-09-14,토,17:00,한밭,daejeon,한화,롯데,False,정상진행,-
2019-09-15,일,14:00,한밭,daejeon,한화,롯데,False,정상진행,-
2019-09-17,화,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2019-09-20,금,18:30,한밭,daejeon,한화,삼성,False,정상진행,-
2019-09-21,토,17:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2019-09-22,일,17:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2019-09-29,일,14:00,한밭,daejeon,한화,SK,False,정상진행,-
2019-09-30,월,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2020-05-12,화,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2020-05-13,수,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2020-05-14,목,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2020-05-15,금,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2020-05-16,토,14:00,한밭,daejeon,한화,롯데,False,정상진행,-
2020-05-17,일,14:00,한밭,daejeon,한화,롯데,False,정상진행,-
