date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-04-09,화,18:30,한밭,daejeon,한화,SK,True,우천취소,우천취소
2019-04-23,화,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2019-04-25,목,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2019-06-29,토,17:00,한밭,daejeon,한화,키움,True,우천취소,우천취소
2019-07-10,수,18:30,한밭,daejeon,한화,SK,True,우천취소,우천취소
2019-08-21,수,18:30,한밭,daejeon,한화,삼성,True,우천취소,우천취소
2019-09-21,토,17:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2019-09-22,일,14:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2019-09-22,일,17:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2020-07-12,일,17:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2020-07-23,목,18:30,한밭,daejeon,한화,KIA,True,우천취소,우천취소
2020-07-25,토,18:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2020-08-04,화,18:30,한밭,daejeon,한화,NC,True,우천취소,우천취소
2020-08-07,금,18:30,한밭,daejeon,한화,KT,True,우천취소,우천취소
2020-08-08,토,18:00,한밭,daejeon,한화,KT,True,우천취소,우천취소
2020-08-10,월,18:30,한밭,daejeon,한화,KT,True,우천취소,우천취소
2020-08-28,금,18:30,한밭,daejeon,한화,삼성,True,우천취소,우천취소
2021-05-20,목,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2021-06-03,목,18:30,한밭,daejeon,한화,KIA,True,우천취소,우천취소
2021-07-06,화,18:30,한밭,daejeon,한화,KIA,True,우천취소,우천취소
2021-09-29,수,18:30,한밭,daejeon,한화,키움,True,우천취소,우천취소
2022-06-05,일,17:00,한밭,daejeon,한화,키움,True,우천취소,우천취소
2022-06-14,화,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2022-06-30,목,18:30,한밭,daejeon,한화,SSG,True,그라운드사정,그라운드사정
2022-07-31,일,17:00,한밭,daejeon,한화,두산,True,우천취소,우천취소
2022-08-10,수,18:30,한밭,daejeon,한화,LG,True,우천취소,우천취소
2022-08-11,목,18:30,한밭,daejeon,한화,LG,True,우천취소,우천취소
2022-08-30,화,18:30,한밭,daejeon,한화,KIA,True,우천취소,우천취소
2023-05-05,금,14:00,한밭,daejeon,한화,KT,True,우천취소,우천취소
2023-05-06,토,17:00,한밭,daejeon,한화,KT,True,우천취소,우천취소
2023-06-29,목,18:30,한밭,daejeon,한화,KT,True,그라운드사정,그라운드사정
2023-07-04,화,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2023-07-07,금,18:30,한밭,daejeon,한화,SSG,True,우천취소,우천취소
2023-07-23,일,17:00,한밭,daejeon,한화,NC,True,우천취소,우천취소
2023-08-23,수,18:30,한밭,daejeon,한화,삼성,True,우천취소,우천취소
2023-08-24,목,18:30,한밭,daejeon,한화,삼성,True,우천취소,우천취소
2023-08-29,화,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2023-08-30,수,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2023-09-16,토,17:00,한밭,daejeon,한화,KT,True,우천취소,우천취소
2023-09-20,수,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2023-09-26,화,18:30,한밭,daejeon,한화,삼성,True,우천취소,우천취소
2024-04-03,수,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소
2024-07-25,목,18:30,한밭,daejeon,한화,삼성,True,우천취소,우천취소
2024-08-04,일,17:00,한밭,daejeon,한화,KIA,True,우천취소,우천취소
2024-09-21,토,17:00,한밭,daejeon,한화,롯데,True,우천취소,우천취소
