date,day,time,stadium,stadium_id,home,away,cancelled,reason,note,daily_temp_max,daily_temp_min,daily_temp_mean,daily_precip_sum,daily_rain_sum,daily_precip_hours,daily_wind_max,daily_wind_gust_max,pre_game_precip,pre_game_temp,pre_game_humidity,pre_game_wind,prev_day_precip
2019-03-29,금,18:30,한밭,daejeon,한화,NC,False,정상진행,-,15.8,3.9,9.4,0.0,0.0,0.0,13.3,32.4,0.0,14.5,40.5,10.6,0.0
2019-03-30,토,17:00,한밭,daejeon,한화,NC,False,정상진행,-,11.9,2.4,6.3,2.9,2.1,5.0,29.6,70.2,0.6,9.9,53.2,25.7,0.0
2019-03-31,일,14:00,한밭,daejeon,한화,NC,False,정상진행,-,8.0,0.9,4.5,0.0,0.0,0.0,24.8,56.9,0.0,7.6,36.5,23.9,2.9
2019-04-02,화,18:30,한밭,daejeon,한화,LG,False,정상진행,-,12.1,-0.3,5.7,0.0,0.0,0.0,18.2,43.6,0.0,10.6,32.0,16.4,0.0
2019-04-03,수,18:30,한밭,daejeon,한화,LG,False,정상진행,-,12.6,-1.1,5.8,0.0,0.0,0.0,17.7,41.0,0.0,11.2,32.5,15.5,0.0
2019-04-04,목,18:30,한밭,daejeon,한화,LG,False,정상진행,-,15.1,0.4,7.1,0.0,0.0,0.0,19.7,45.4,0.0,13.2,34.0,17.8,0.0
2019-04-09,화,18:30,한밭,daejeon,한화,SK,True,우천취소,우천취소,17.5,4.8,10.2,19.2,19.2,9.0,32.3,70.9,2.2,12.4,51.0,22.0,0.0
2019-04-10,수,18:30,한밭,daejeon,한화,SK,False,정상진행,-,8.8,4.2,6.8,13.7,13.7,5.0,35.7,75.6,0.0,8.4,69.2,13.3,19.2
2019-04-11,목,18:30,한밭,daejeon,한화,SK,False,정상진행,-,14.6,1.7,8.4,0.0,0.0,0.0,7.3,22.3,0.0,13.9,40.8,5.6,13.7
2019-04-19,금,18:30,한밭,daejeon,한화,삼성,False,정상진행,-,17.1,11.0,13.7,1.0,1.0,5.0,16.5,39.6,0.0,16.3,56.2,14.0,0.0
2019-04-20,토,17:00,한밭,daejeon,한화,삼성,False,정상진행,-,21.1,10.6,15.2,0.9,0.9,4.0,14.7,34.9,0.0,20.6,50.8,12.2,1.0
2019-04-21,일,14:00,한밭,daejeon,한화,삼성,False,정상진행,-,20.6,10.8,16.0,0.0,0.0,0.0,13.5,32.4,0.0,19.3,64.2,10.4,0.9
2019-04-23,화,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소,25.2,12.9,18.0,5.7,5.7,8.0,13.8,34.6,2.0,20.4,65.8,10.6,0.0
2019-04-24,수,18:30,한밭,daejeon,한화,롯데,False,정상진행,-,22.0,14.6,17.4,18.1,18.1,11.0,11.4,28.4,0.1,20.8,70.2,8.6,5.7
2019-04-25,목,18:30,한밭,daejeon,한화,롯데,True,우천취소,우천취소,18.5,11.1,14.5,14.1,14.1,15.0,16.5,36.7,5.3,14.6,94.2,12.7,18.1
2019-04-30,화,18:30,한밭,daejeon,한화,두산,False,정상진행,-,22.5,8.9,14.4,0.0,0.0,0.0,15.3,35.3,0.0,20.8,57.8,8.5,18.8
2019-05-01,수,18:30,한밭,daejeon,한화,두산,False,정상진행,-,20.5,8.2,13.9,0.3,0.3,3.0,15.6,36.7,0.2,19.8,53.0,14.7,0.0
2019-05-02,목,18:30,한밭,daejeon,한화,두산,False,정상진행,-,22.0,6.9,13.8,0.0,0.0,0.0,15.5,34.6,0.0,20.6,36.5,13.4,0.3
2019-05-03,금,18:30,한밭,daejeon,한화,KT,False,정상진행,-,25.3,7.4,16.1,0.0,0.0,0.0,11.0,25.9,0.0,24.4,37.8,10.3,0.0
2019-05-04,토,17:00,한밭,daejeon,한화,KT,False,정상진행,-,26.1,8.7,17.4,0.0,0.0,0.0,7.8,21.2,0.0,25.8,32.2,7.0,0.0
2019-05-05,일,14:00,한밭,daejeon,한화,KT,False,정상진행,-,25.7,11.1,18.2,0.0,0.0,0.0,14.3,33.1,0.0,24.9,27.5,7.8,0.0
2019-05-14,화,18:30,한밭,daejeon,한화,키움,False,정상진행,-,27.0,13.7,20.2,0.0,0.0,0.0,10.7,27.4,0.0,26.4,37.0,10.2,1.0
2019-05-15,수,18:30,한밭,daejeon,한화,키움,False,정상진행,-,27.6,14.6,21.1,0.0,0.0,0.0,9.0,24.8,0.0,27.2,35.8,8.1,0.0
2019-05-16,목,18:30,한밭,daejeon,한화,키움,False,정상진행,-,28.7,15.6,22.5,0.0,0.0,0.0,16.3,34.6,0.0,28.5,35.5,6.1,0.0
