date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-03-23,토,14:00,광주,gwangju,KIA,LG,False,정상진행,-
2019-03-24,일,14:00,광주,gwangju,KIA,LG,False,정상진행,-
2019-03-26,화,18:30,광주,gwangju,KIA,한화,False,정상진행,-
2019-03-27,수,18:30,광주,gwangju,KIA,한화,False,정상진행,-
2019-03-28,목,18:30,광주,gwangju,KIA,한화,False,정상진행,-
2019-04-05,금,18:30,광주,gwangju,KIA,키움,False,정상진행,-
2019-04-06,토,17:00,광주,gwangju,KIA,키움,False,정상진행,-
2019-04-07,일,14:00,광주,gwangju,KIA,키움,True,우천취소,우천취소
2019-04-09,화,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2019-04-10,수,18:30,광주,gwangju,KIA,NC,False,정상진행,-
2019-04-11,목,18:30,광주,gwangju,KIA,NC,False,정상진행,-
2019-04-19,금,18:30,광주,gwangju,KIA,두산,False,정상진행,-
2019-04-20,토,17:00,광주,gwangju,KIA,두산,False,정상진행,-
2019-04-21,일,14:00,광주,gwangju,KIA,두산,False,정상진행,-
2019-04-30,화,18:30,광주,gwangju,KIA,삼성,False,정상진행,-
2019-05-01,수,18:30,광주,gwangju,KIA,삼성,False,정상진행,-
2019-05-02,목,18:30,광주,gwangju,KIA,삼성,False,정상진행,-
2019-05-10,금,18:30,광주,gwangju,KIA,SK,False,정상진행,-
2019-05-11,토,17:00,광주,gwangju,KIA,SK,False,정상진행,-
2019-05-12,일,14:00,광주,gwangju,KIA,SK,False,정상진행,-
2019-05-14,화,18:30,광주,gwangju,KIA,KT,False,정상진행,-
2019-05-15,수,18:30,광주,gwangju,KIA,KT,False,정상진행,-
2019-05-16,목,18:30,광주,gwangju,KIA,KT,False,정상진행,-
2019-05-21,화,18:30,광주,gwangju,KIA,롯데,False,정상진행,-
2019-05-22,수,18:30,광주,gwangju,KIA,롯데,False,정상진행,-
2019-05-23,목,18:30,광주,gwangju,KIA,롯데,False,정상진행,-
2019-05-24,금,18:30,광주,gwangju,KIA,KT,False,정상진행,-
2019-05-25,토,17:00,광주,gwangju,KIA,KT,False,정상진행,-
2019-05-26,일,14:00,광주,gwangju,KIA,KT,False,정상진행,-
2019-05-31,금,18:30,광주,gwangju,KIA,키움,False,정상진행,-
2019-06-01,토,17:00,광주,gwangju,KIA,키움,False,정상진행,-
2019-06-02,일,17:00,광주,gwangju,KIA,키움,False,정상진행,-
2019-06-04,화,18:30,광주,gwangju,KIA,두산,False,정상진행,-
2019-06-05,수,18:30,광주,gwangju,KIA,두산,False,정상진행,-
2019-06-06,목,14:00,광주,gwangju,KIA,두산,False,정상진행,-
2019-06-11,화,18:30,광주,gwangju,KIA,삼성,False,정상진행,-
2019-06-12,수,18:30,광주,gwangju,KIA,삼성,False,정상진행,-
2019-06-13,목,18:30,광주,gwangju,KIA,삼성,False,정상진행,-
2019-06-18,화,18:30,광주,gwangju,KIA,SK,False,정상진행,-
2019-06-19,수,18:30,광주,gwangju,KIA,SK,False,정상진행,-
2019-06-20,목,18:30,광주,gwangju,KIA,SK,False,정상진행,-
2019-07-02,화,18:30,광주,gwangju,KIA,NC,False,정상진행,-
2019-07-03,수,18:30,광주,gwangju,KIA,NC,False,정상진행,-
2019-07-04,목,18:30,광주,gwangju,KIA,NC,False,정상진행,-
2019-07-05,금,18:30,광주,gwangju,KIA,LG,False,정상진행,-
2019-07-06,토,18:00,광주,gwangju,KIA,LG,False,정상진행,-
2019-07-07,일,18:00,광주,gwangju,KIA,LG,False,정상진행,-
2019-07-12,금,18:30,광주,gwangju,KIA,한화,False,정상진행,-
2019-07-13,토,18:00,광주,gwangju,KIA,한화,False,정상진행,-
2019-07-14,일,18:00,광주,gwangju,KIA,한화,False,정상진행,-
2019-07-16,화,18:30,광주,gwangju,KIA,롯데,True,우천취소,우천취소
2019-07-17,수,18:30,광주,gwangju,KIA,롯데,False,정상진행,-
2019-07-18,목,18:30,광주,gwangju,KIA,롯데,False,정상진행,-
2019-08-03,토,18:00,광주,gwangju,KIA,NC,False,정상진행,-
2019-08-04,일,17:00,광주,gwangju,KIA,NC,False,정상진행,-
2019-08-06,화,18:30,광주,gwangju,KIA,LG,False,정상진행,-
2019-08-07,수,18:30,광주,gwangju,KIA,LG,False,정상진행,-
