date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-04-07,일,14:00,광주,gwangju,KIA,키움,True,우천취소,우천취소
2019-04-09,화,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2019-07-16,화,18:30,광주,gwangju,KIA,롯데,True,우천취소,우천취소
2020-06-18,목,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2020-06-30,화,18:30,광주,gwangju,KIA,한화,True,우천취소,우천취소
2020-07-12,일,17:00,광주,gwangju,KIA,키움,True,우천취소,우천취소
2020-07-24,금,18:30,광주,gwangju,KIA,삼성,True,우천취소,우천취소
2020-07-28,화,18:30,광주,gwangju,KIA,KT,True,우천취소,우천취소
2020-07-29,수,18:30,광주,gwangju,KIA,KT,True,우천취소,우천취소
2020-08-07,금,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2020-08-29,토,18:00,광주,gwangju,KIA,KT,True,우천취소,우천취소
2020-09-02,수,18:30,광주,gwangju,KIA,삼성,True,우천취소,우천취소
2020-09-09,수,18:30,광주,gwangju,KIA,LG,True,우천취소,우천취소
2020-09-11,금,18:30,광주,gwangju,KIA,두산,True,우천취소,우천취소
2020-10-21,수,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2021-05-07,금,18:30,광주,gwangju,KIA,두산,True,기타취소,미세먼지취소
2021-05-08,토,14:00,광주,gwangju,KIA,두산,True,기타취소,미세먼지취소
2021-05-20,목,18:30,광주,gwangju,KIA,SSG,True,우천취소,우천취소
2021-06-15,화,18:30,광주,gwangju,KIA,SSG,True,우천취소,우천취소
2021-06-30,수,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2021-07-03,토,18:00,광주,gwangju,KIA,두산,True,그라운드사정,그라운드사정
2021-07-05,월,18:30,광주,gwangju,KIA,두산,True,우천취소,우천취소
2021-08-12,목,18:30,광주,gwangju,KIA,한화,True,우천취소,우천취소
2021-08-21,토,18:00,광주,gwangju,KIA,키움,True,우천취소,우천취소
2021-08-23,월,18:30,광주,gwangju,KIA,키움,True,우천취소,우천취소
2021-08-27,금,18:30,광주,gwangju,KIA,롯데,True,우천취소,우천취소
2022-04-13,수,18:30,광주,gwangju,KIA,롯데,True,우천취소,우천취소
2022-06-07,화,18:30,광주,gwangju,KIA,LG,True,우천취소,우천취소
2022-07-05,화,18:30,광주,gwangju,KIA,KT,True,우천취소,우천취소
2022-07-07,목,18:30,광주,gwangju,KIA,KT,True,우천취소,우천취소
2022-08-16,화,18:30,광주,gwangju,KIA,SSG,True,우천취소,우천취소
2023-05-04,목,18:30,광주,gwangju,KIA,롯데,True,그라운드사정,그라운드사정
2023-06-01,목,18:30,광주,gwangju,KIA,KT,True,그라운드사정,그라운드사정
2023-06-25,일,17:00,광주,gwangju,KIA,KT,True,우천취소,우천취소
2023-06-29,목,18:30,광주,gwangju,KIA,키움,True,우천취소,우천취소
2023-07-11,화,18:30,광주,gwangju,KIA,삼성,True,우천취소,우천취소
2023-07-22,토,18:00,광주,gwangju,KIA,두산,True,우천취소,우천취소
2023-07-23,일,17:00,광주,gwangju,KIA,두산,True,우천취소,우천취소
2023-08-08,화,18:30,광주,gwangju,KIA,LG,True,우천취소,우천취소
2023-08-10,목,18:30,광주,gwangju,KIA,LG,True,그라운드사정,그라운드사정
2023-08-29,화,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2023-08-30,수,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2023-09-14,목,18:30,광주,gwangju,KIA,롯데,True,우천취소,우천취소
2023-09-16,토,17:00,광주,gwangju,KIA,두산,True,우천취소,우천취소
2023-09-20,수,18:30,광주,gwangju,KIA,키움,True,우천취소,우천취소
2024-03-24,일,14:00,광주,gwangju,KIA,키움,True,우천취소,우천취소
2024-03-28,목,18:30,광주,gwangju,KIA,롯데,True,우천취소,우천취소
2024-05-05,일,14:00,광주,gwangju,KIA,한화,True,우천취소,우천취소
2024-05-11,토,17:00,광주,gwangju,KIA,SSG,True,우천취소,우천취소
2024-06-22,토,17:00,광주,gwangju,KIA,한화,True,우천취소,우천취소
2024-06-29,토,17:00,광주,gwangju,KIA,키움,True,우천취소,우천취소
2024-06-30,일,17:00,광주,gwangju,KIA,키움,True,그라운드사정,그라운드사정
2024-07-16,화,18:30,광주,gwangju,KIA,삼성,True,그라운드사정,그라운드사정
2024-08-10,토,18:00,광주,gwangju,KIA,삼성,True,우천취소,우천취소
2024-08-20,화,18:30,광주,gwangju,KIA,롯데,True,우천취소,우천취소
2024-09-21,토,17:00,광주,gwangju,KIA,NC,True,우천취소,우천취소
2024-09-22,일,14:00,광주,gwangju,KIA,NC,True,우천취소,우천취소
2025-04-12,토,17:00,광주,gwangju,KIA,SSG,True,우천취소,우천취소
2025-05-01,목,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2025-05-03,토,14:00,광주,gwangju,KIA,한화,True,우천취소,우천취소
2025-05-16,금,18:30,광주,gwangju,KIA,두산,True,우천취소,우천취소
2025-07-17,목,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2025-07-18,금,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소
2025-07-19,토,18:00,광주,gwangju,KIA,NC,True,그라운드사정,그라운드사정
2025-08-02,토,18:00,광주,gwangju,KIA,한화,True,우천취소,우천취소
2025-08-03,일,18:00,광주,gwangju,KIA,한화,True,우천취소,우천취소
2025-09-04,목,18:30,광주,gwangju,KIA,SSG,True,우천취소,우천취소
2025-09-05,금,18:30,광주,gwangju,KIA,KT,True,우천취소,우천취소
2025-09-09,화,18:30,광주,gwangju,KIA,삼성,True,그라운드사정,그라운드사정
2025-09-28,일,14:00,광주,gwangju,KIA,NC,True,우천취소,우천취소
2025-10-03,금,17:00,광주,gwangju,KIA,삼성,True,우천취소,우천취소
