date,day,time,stadium,stadium_id,home,away,cancelled,reason,note,daily_temp_max,daily_temp_min,daily_temp_mean,daily_precip_sum,daily_rain_sum,daily_precip_hours,daily_wind_max,daily_wind_gust_max,pre_game_precip,pre_game_temp,pre_game_humidity,pre_game_wind,prev_day_precip
2019-03-23,토,14:00,광주,gwangju,KIA,LG,False,정상진행,-,9.8,0.2,4.4,1.1,1.1,4.0,26.7,64.8,0.7,9.1,48.8,19.1,0.0
2019-03-24,일,14:00,광주,gwangju,KIA,LG,False,정상진행,-,9.7,-3.0,3.2,0.0,0.0,0.0,16.3,36.0,0.0,8.8,40.8,11.2,1.1
2019-03-26,화,18:30,광주,gwangju,KIA,한화,False,정상진행,-,18.1,1.4,9.1,0.0,0.0,0.0,10.8,26.6,0.0,16.8,40.5,8.8,0.0
2019-03-27,수,18:30,광주,gwangju,KIA,한화,False,정상진행,-,18.0,4.5,10.8,0.0,0.0,0.0,24.2,49.7,0.0,15.9,50.2,20.2,0.0
2019-03-28,목,18:30,광주,gwangju,KIA,한화,False,정상진행,-,17.8,5.9,10.9,0.0,0.0,0.0,14.3,31.0,0.0,15.0,46.2,12.6,0.0
2019-04-05,금,18:30,광주,gwangju,KIA,키움,False,정상진행,-,17.7,3.2,9.7,0.0,0.0,0.0,21.3,43.9,0.0,16.0,46.2,14.7,0.0
2019-04-06,토,17:00,광주,gwangju,KIA,키움,False,정상진행,-,21.0,0.9,11.2,0.0,0.0,0.0,16.0,34.6,0.0,20.6,30.0,14.0,0.0
2019-04-07,일,14:00,광주,gwangju,KIA,키움,True,우천취소,우천취소,18.2,7.6,12.4,2.6,2.6,9.0,8.4,26.6,0.3,16.8,67.5,5.4,0.0
2019-04-09,화,18:30,광주,gwangju,KIA,NC,True,우천취소,우천취소,16.3,5.9,10.2,26.3,26.3,10.0,22.2,55.1,6.5,11.5,64.2,19.8,0.0
2019-04-10,수,18:30,광주,gwangju,KIA,NC,False,정상진행,-,12.2,6.0,8.7,3.1,3.1,7.0,18.4,37.4,0.0,11.6,64.8,14.9,26.3
2019-04-11,목,18:30,광주,gwangju,KIA,NC,False,정상진행,-,14.5,3.8,8.7,0.0,0.0,0.0,12.8,27.7,0.0,12.8,57.0,10.3,3.1
2019-04-19,금,18:30,광주,gwangju,KIA,두산,False,정상진행,-,19.2,10.8,14.4,0.5,0.5,3.0,16.3,33.1,0.4,16.6,68.8,11.9,0.0
2019-04-20,토,17:00,광주,gwangju,KIA,두산,False,정상진행,-,22.2,10.4,15.6,0.0,0.0,0.0,13.2,26.3,0.0,21.9,51.2,6.2,0.5
2019-04-21,일,14:00,광주,gwangju,KIA,두산,False,정상진행,-,21.9,9.8,16.1,0.0,0.0,0.0,10.4,23.0,0.0,20.5,61.0,4.3,0.0
2019-04-30,화,18:30,광주,gwangju,KIA,삼성,False,정상진행,-,21.2,8.9,14.3,0.1,0.1,1.0,13.2,28.8,0.0,19.9,69.2,10.3,35.0
2019-05-01,수,18:30,광주,gwangju,KIA,삼성,False,정상진행,-,19.9,8.4,13.2,0.0,0.0,0.0,17.4,38.5,0.0,17.4,68.8,16.3,0.1
2019-05-02,목,18:30,광주,gwangju,KIA,삼성,False,정상진행,-,20.7,6.5,13.2,0.0,0.0,0.0,17.1,36.4,0.0,18.4,40.2,15.0,0.0
2019-05-10,금,18:30,광주,gwangju,KIA,SK,False,정상진행,-,26.4,8.4,16.7,0.0,0.0,0.0,14.8,33.8,0.0,23.8,31.2,11.6,0.0
2019-05-11,토,17:00,광주,gwangju,KIA,SK,False,정상진행,-,27.0,9.9,18.1,0.0,0.0,0.0,13.6,32.8,0.0,25.9,28.5,12.4,0.0
2019-05-12,일,14:00,광주,gwangju,KIA,SK,False,정상진행,-,28.0,12.5,19.8,0.0,0.0,0.0,9.8,26.6,0.0,27.0,26.5,7.8,0.0
2019-05-14,화,18:30,광주,gwangju,KIA,KT,False,정상진행,-,27.7,14.4,20.9,0.5,0.5,4.0,10.8,25.6,0.3,26.2,47.0,8.4,0.4
2019-05-15,수,18:30,광주,gwangju,KIA,KT,False,정상진행,-,29.1,14.6,21.9,0.2,0.2,2.0,13.1,30.2,0.2,26.8,42.2,11.4,0.5
2019-05-16,목,18:30,광주,gwangju,KIA,KT,False,정상진행,-,30.1,14.8,22.3,0.0,0.0,0.0,18.2,37.8,0.0,28.4,29.2,17.0,0.2
2019-05-21,화,18:30,광주,gwangju,KIA,롯데,False,정상진행,-,22.1,9.0,15.8,0.0,0.0,0.0,19.9,41.4,0.0,20.9,47.8,14.6,2.8
2019-05-22,수,18:30,광주,gwangju,KIA,롯데,False,정상진행,-,25.3,9.7,17.6,0.0,0.0,0.0,14.5,31.3,0.0,24.2,47.2,12.9,0.0
2019-05-23,목,18:30,광주,gwangju,KIA,롯데,False,정상진행,-,25.8,12.2,19.2,0.0,0.0,0.0,13.1,31.3,0.0,25.2,53.5,9.6,0.0
2019-05-24,금,18:30,광주,gwangju,KIA,KT,False,정상진행,-,27.9,13.4,20.6,0.0,0.0,0.0,17.9,37.8,0.0,25.6,50.2,14.8,0.0
2019-05-25,토,17:00,광주,gwangju,KIA,KT,False,정상진행,-,28.8,15.0,21.4,0.0,0.0,0.0,12.2,28.1,0.0,28.0,35.8,11.5,0.0
2019-05-26,일,14:00,광주,gwangju,KIA,KT,False,정상진행,-,28.5,16.7,22.2,3.3,3.3,3.0,20.5,42.5,0.0,27.9,27.2,19.1,0.0
