date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-03-23,토,14:00,문학,incheon,SK,KT,False,정상진행,-
2019-03-24,일,14:00,문학,incheon,SK,KT,False,정상진행,-
2019-03-26,화,18:30,문학,incheon,SK,LG,False,정상진행,-
2019-03-27,수,18:30,문학,incheon,SK,LG,False,정상진행,-
2019-03-28,목,18:30,문학,incheon,SK,LG,False,정상진행,-
2019-04-02,화,18:30,문학,incheon,SK,롯데,False,정상진행,-
2019-04-03,수,18:30,문학,incheon,SK,롯데,False,정상진행,-
2019-04-04,목,18:30,문학,incheon,SK,롯데,False,정상진행,-
2019-04-05,금,18:30,문학,incheon,SK,삼성,False,정상진행,-
2019-04-06,토,17:00,문학,incheon,SK,삼성,False,정상진행,-
2019-04-07,일,14:00,문학,incheon,SK,삼성,False,정상진행,-
2019-04-12,금,18:30,문학,incheon,SK,KIA,False,정상진행,-
2019-04-13,토,17:00,문학,incheon,SK,KIA,False,정상진행,-
2019-04-14,일,14:00,문학,incheon,SK,KIA,False,정상진행,-
2019-04-19,금,18:30,문학,incheon,SK,NC,False,정상진행,-
2019-04-20,토,17:00,문학,incheon,SK,NC,False,정상진행,-
2019-04-21,일,14:00,문학,incheon,SK,NC,False,정상진행,-
2019-04-30,화,18:30,문학,incheon,SK,키움,False,정상진행,-
2019-05-01,수,18:30,문학,incheon,SK,키움,False,정상진행,-
2019-05-02,목,18:30,문학,incheon,SK,키움,False,정상진행,-
2019-05-07,화,18:30,문학,incheon,SK,한화,False,정상진행,-
2019-05-08,수,18:30,문학,incheon,SK,한화,False,정상진행,-
2019-05-09,목,18:30,문학,incheon,SK,한화,False,정상진행,-
2019-05-17,금,18:30,문학,incheon,SK,두산,False,정상진행,-
2019-05-18,토,17:00,문학,incheon,SK,두산,False,정상진행,-
2019-05-19,일,14:00,문학,incheon,SK,두산,True,우천취소,우천취소
2019-05-28,화,18:30,문학,incheon,SK,KT,False,정상진행,-
2019-05-29,수,18:30,문학,incheon,SK,KT,False,정상진행,-
2019-05-30,목,18:30,문학,incheon,SK,KT,False,정상진행,-
2019-05-31,금,18:30,문학,incheon,SK,한화,False,정상진행,-
2019-06-01,토,17:00,문학,incheon,SK,한화,False,정상진행,-
2019-06-02,일,17:00,문학,incheon,SK,한화,False,정상진행,-
2019-06-07,금,18:30,문학,incheon,SK,삼성,False,정상진행,-
2019-06-08,토,17:00,문학,incheon,SK,삼성,False,정상진행,-
2019-06-09,일,17:00,문학,incheon,SK,삼성,False,정상진행,-
2019-06-14,금,18:30,문학,incheon,SK,NC,False,정상진행,-
2019-06-15,토,17:00,문학,incheon,SK,NC,False,정상진행,-
2019-06-16,일,17:00,문학,incheon,SK,NC,False,정상진행,-
2019-06-21,금,18:30,문학,incheon,SK,두산,False,정상진행,-
2019-06-22,토,17:00,문학,incheon,SK,두산,False,정상진행,-
2019-06-23,일,17:00,문학,incheon,SK,두산,False,정상진행,-
2019-07-02,화,18:30,문학,incheon,SK,롯데,False,정상진행,-
2019-07-03,수,18:30,문학,incheon,SK,롯데,False,정상진행,-
2019-07-04,목,18:30,문학,incheon,SK,롯데,False,정상진행,-
2019-07-12,금,18:30,문학,incheon,SK,키움,False,정상진행,-
2019-07-13,토,18:00,문학,incheon,SK,키움,False,정상진행,-
2019-07-14,일,18:00,문학,incheon,SK,키움,False,정상진행,-
