date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-05-19,일,14:00,문학,incheon,SK,두산,True,우천취소,우천취소
2019-08-14,수,18:30,문학,incheon,SK,삼성,True,우천취소,우천취소
2019-09-04,수,18:30,문학,incheon,SK,NC,True,우천취소,우천취소
2019-09-05,목,18:30,문학,incheon,SK,두산,True,우천취소,우천취소
2019-09-06,금,18:30,문학,incheon,SK,두산,True,우천취소,우천취소
2019-09-10,화,18:30,문학,incheon,SK,키움,True,우천취소,우천취소
2020-06-24,수,18:30,문학,incheon,SK,두산,True,우천취소,우천취소
2020-07-22,수,18:30,문학,incheon,SK,롯데,True,우천취소,우천취소
2020-07-23,목,18:30,문학,incheon,SK,롯데,True,우천취소,우천취소
2020-08-05,수,18:30,문학,incheon,SK,롯데,True,우천취소,우천취소
2020-08-09,일,17:00,문학,incheon,SK,삼성,True,우천취소,우천취소
2020-08-10,월,18:30,문학,incheon,SK,삼성,True,우천취소,우천취소
2020-09-02,수,18:30,문학,incheon,SK,LG,True,우천취소,우천취소
2021-04-03,토,14:00,문학,incheon,SSG,롯데,True,우천취소,우천취소
2021-05-07,금,18:30,문학,incheon,SSG,키움,True,기타취소,미세먼지취소
2021-05-08,토,14:00,문학,incheon,SSG,키움,True,기타취소,미세먼지취소
2021-05-15,토,17:00,문학,incheon,SSG,두산,True,우천취소,우천취소
2021-05-16,일,17:00,문학,incheon,SSG,두산,True,우천취소,우천취소
2021-06-03,목,18:30,문학,incheon,SSG,삼성,True,우천취소,우천취소
2021-06-10,목,18:30,문학,incheon,SSG,KT,True,우천취소,우천취소
2021-07-03,토,18:00,문학,incheon,SSG,롯데,True,우천취소,우천취소
2021-08-17,화,18:30,문학,incheon,SSG,NC,True,우천취소,우천취소
2021-08-31,화,18:30,문학,incheon,SSG,NC,True,우천취소,우천취소
2021-09-07,화,18:30,문학,incheon,SSG,LG,True,우천취소,우천취소
2022-06-23,목,18:30,문학,incheon,SSG,두산,True,우천취소,우천취소
2022-07-13,수,18:30,문학,incheon,SSG,키움,True,우천취소,우천취소
2022-08-19,금,18:30,문학,incheon,SSG,LG,True,그라운드사정,그라운드사정
2022-09-04,일,14:00,문학,incheon,SSG,키움,True,우천취소,우천취소
2023-04-05,수,18:30,문학,incheon,SSG,롯데,True,그라운드사정,그라운드사정
2023-04-06,목,18:30,문학,incheon,SSG,롯데,True,우천취소,우천취소
2023-06-29,목,18:30,문학,incheon,SSG,LG,True,그라운드사정,그라운드사정
2023-07-04,화,18:30,문학,incheon,SSG,KIA,True,우천취소,우천취소
2023-07-11,화,18:30,문학,incheon,SSG,두산,True,우천취소,우천취소
2023-07-13,목,18:30,문학,incheon,SSG,두산,True,우천취소,우천취소
2023-08-10,목,18:30,문학,incheon,SSG,NC,True,우천취소,우천취소
2023-08-22,화,18:30,문학,incheon,SSG,NC,True,그라운드사정,그라운드사정
2023-08-23,수,18:30,문학,incheon,SSG,NC,True,그라운드사정,그라운드사정
2023-08-29,화,18:30,문학,incheon,SSG,키움,True,우천취소,우천취소
2023-09-26,화,18:30,문학,incheon,SSG,두산,True,우천취소,우천취소
2024-04-20,토,17:00,문학,incheon,SSG,LG,True,우천취소,우천취소
2024-05-05,일,14:00,문학,incheon,SSG,NC,True,우천취소,우천취소
2024-05-15,수,14:00,문학,incheon,SSG,삼성,True,우천취소,우천취소
2024-05-26,일,14:00,문학,incheon,SSG,한화,True,그라운드사정,그라운드사정
2024-07-20,토,18:00,문학,incheon,SSG,키움,True,우천취소,우천취소
2024-09-13,금,18:30,문학,incheon,SSG,LG,True,우천취소,우천취소
2024-09-20,금,18:30,문학,incheon,SSG,키움,True,우천취소,우천취소
2025-04-05,토,17:00,문학,incheon,SSG,KT,True,우천취소,우천취소
2025-05-09,금,18:30,문학,incheon,SSG,KIA,True,우천취소,우천취소
2025-05-10,토,14:00,문학,incheon,SSG,KIA,True,우천취소,우천취소
2025-06-13,금,18:30,문학,incheon,SSG,롯데,True,우천취소,우천취소
2025-06-20,금,18:30,문학,incheon,SSG,KIA,True,우천취소,우천취소
2025-07-17,목,18:30,문학,incheon,SSG,두산,True,우천취소,우천취소
2025-07-18,금,18:30,문학,incheon,SSG,두산,True,그라운드사정,그라운드사정
2025-08-13,수,18:30,문학,incheon,SSG,키움,True,우천취소,우천취소
2025-09-06,토,17:00,문학,incheon,SSG,롯데,True,우천취소,우천취소
2025-09-19,금,18:30,문학,incheon,SSG,두산,True,우천취소,우천취소
2025-09-24,수,18:30,문학,incheon,SSG,한화,True,우천취소,우천취소
