date,day,time,stadium,stadium_id,home,away,cancelled,reason,note,daily_temp_max,daily_temp_min,daily_temp_mean,daily_precip_sum,daily_rain_sum,daily_precip_hours,daily_wind_max,daily_wind_gust_max,pre_game_precip,pre_game_temp,pre_game_humidity,pre_game_wind,prev_day_precip
2019-03-23,토,14:00,문학,incheon,SK,KT,False,정상진행,-,7.6,-2.4,3.2,1.8,0.7,2.0,31.6,62.6,1.8,5.9,68.0,23.7,0.0
2019-03-24,일,14:00,문학,incheon,SK,KT,False,정상진행,-,6.7,-2.0,3.5,0.0,0.0,0.0,23.5,46.8,0.0,6.5,44.2,17.4,1.8
2019-03-26,화,18:30,문학,incheon,SK,LG,False,정상진행,-,11.6,4.7,7.6,0.0,0.0,0.0,14.3,32.4,0.0,10.7,67.8,10.7,0.0
2019-03-27,수,18:30,문학,incheon,SK,LG,False,정상진행,-,13.7,5.4,9.0,0.0,0.0,0.0,32.6,61.2,0.0,10.7,72.0,27.3,0.0
2019-03-28,목,18:30,문학,incheon,SK,LG,False,정상진행,-,10.8,2.7,6.7,0.0,0.0,0.0,19.5,40.7,0.0,8.8,45.8,16.7,0.0
2019-04-02,화,18:30,문학,incheon,SK,롯데,False,정상진행,-,8.9,3.1,5.9,0.0,0.0,0.0,26.9,48.6,0.0,7.9,40.5,21.4,0.0
2019-04-03,수,18:30,문학,incheon,SK,롯데,False,정상진행,-,9.2,0.0,5.9,0.0,0.0,0.0,19.9,41.0,0.0,8.4,51.8,19.2,0.0
2019-04-04,목,18:30,문학,incheon,SK,롯데,False,정상진행,-,11.8,3.6,7.5,0.0,0.0,0.0,29.0,54.7,0.0,10.8,56.0,27.7,0.0
2019-04-05,금,18:30,문학,incheon,SK,삼성,False,정상진행,-,12.4,6.7,9.1,0.0,0.0,0.0,28.3,55.1,0.0,10.7,47.5,27.0,0.0
2019-04-06,토,17:00,문학,incheon,SK,삼성,False,정상진행,-,13.2,2.7,8.2,5.0,5.0,6.0,19.9,52.6,0.2,12.6,40.8,9.4,0.0
2019-04-07,일,14:00,문학,incheon,SK,삼성,False,정상진행,-,15.7,3.5,9.7,0.0,0.0,0.0,18.5,35.6,0.0,14.9,32.5,9.8,5.0
2019-04-12,금,18:30,문학,incheon,SK,KIA,False,정상진행,-,12.9,4.6,8.4,0.0,0.0,0.0,16.7,35.6,0.0,11.0,56.8,13.7,0.0
2019-04-13,토,17:00,문학,incheon,SK,KIA,False,정상진행,-,14.4,3.6,8.8,0.0,0.0,0.0,11.5,26.3,0.0,13.6,32.5,10.4,0.0
