date,day,time,stadium,home,away,cancelled,reason,note,stadium_id
2019-03-23,토,14:00,잠실,5두산,한화4,False,정상진행,-,
2019-03-24,일,14:00,잠실,1두산,한화11,False,정상진행,-,
2019-03-26,화,18:30,잠실,7두산,키움2,False,정상진행,-,
2019-03-27,수,18:30,잠실,3두산,키움2,False,정상진행,-,
2019-03-28,목,18:30,잠실,4두산,키움5,False,정상진행,-,
2019-04-05,금,18:30,잠실,3두산,NC7,False,정상진행,-,
2019-04-06,토,17:00,잠실,5두산,NC6,False,정상진행,-,
2019-04-07,일,14:00,잠실,3두산,NC5,False,정상진행,-,
2019-04-12,금,18:30,잠실,3LG,두산0,False,정상진행,-,
2019-04-13,토,17:00,잠실,5LG,두산2,False,정상진행,-,
2019-04-14,일,14:00,잠실,0LG,두산8,False,정상진행,-,
2019-04-16,화,18:30,잠실,8두산,SK3,False,정상진행,-,
2019-04-17,수,18:30,잠실,12두산,SK3,False,정상진행,-,
2019-04-18,목,18:30,잠실,3두산,SK4,False,정상진행,-,
2019-04-26,금,18:30,잠실,11두산,롯데8,False,정상진행,-,
2019-04-27,토,17:00,잠실,7두산,롯데0,False,정상진행,-,
2019-04-28,일,14:00,잠실,9두산,롯데2,False,정상진행,-,
2019-05-04,토,14:00,잠실,3두산,LG2,False,정상진행,-,
2019-05-07,화,18:30,잠실,4두산,KIA3,False,정상진행,-,
2019-05-08,수,18:30,잠실,1두산,KIA0,False,정상진행,-,
2019-05-09,목,18:30,잠실,3두산,KIA5,False,정상진행,-,
2019-05-10,금,18:30,잠실,2LG,한화5,False,정상진행,-,
2019-05-11,토,17:00,잠실,6LG,한화4,False,정상진행,-,
2019-05-12,일,14:00,잠실,2LG,한화0,False,정상진행,-,
2019-05-21,화,18:30,잠실,2LG,SK4,False,정상진행,-,
2019-05-22,수,18:30,잠실,0LG,SK2,False,정상진행,-,
2019-05-23,목,18:30,잠실,2LG,SK1,False,정상진행,-,
2019-05-24,금,18:30,잠실,3두산,한화4,False,정상진행,-,
2019-05-25,토,17:00,잠실,7두산,한화4,False,정상진행,-,
2019-05-26,일,14:00,잠실,2두산,한화1,False,정상진행,-,
2019-05-31,금,18:30,잠실,3LG,NC2,False,정상진행,-,
