date,day,time,stadium,home,away,cancelled,reason,note
2019-07-26,금,18:30,잠실,두산,KIA,True,우천취소,우천취소
2019-07-28,일,18:00,잠실,두산,KIA,True,우천취소,우천취소
2019-08-15,목,17:00,잠실,두산,LG,True,우천취소,우천취소
2019-08-29,목,18:30,잠실,LG,한화,True,우천취소,우천취소
2019-09-05,목,18:30,잠실,LG,롯데,True,우천취소,우천취소
2019-09-10,화,18:30,잠실,두산,NC,True,우천취소,우천취소
2020-05-09,토,17:00,잠실,두산,KT,True,우천취소,우천취소
2020-06-10,수,18:30,잠실,LG,SK,True,우천취소,우천취소
2020-06-24,수,18:30,잠실,LG,키움,True,우천취소,우천취소
2020-07-29,수,18:30,잠실,두산,키움,True,우천취소,우천취소
2020-08-02,일,17:00,잠실,LG,한화,True,우천취소,우천취소
2020-08-03,월,18:30,잠실,LG,한화,True,우천취소,우천취소
2020-08-22,토,18:00,잠실,LG,한화,True,우천취소,우천취소
2020-09-02,수,18:30,잠실,두산,한화,True,우천취소,우천취소
2021-04-03,토,14:00,잠실,두산,KIA,True,우천취소,우천취소
2021-05-07,금,18:30,잠실,LG,한화,True,기타취소,미세먼지취소
2021-05-08,토,14:00,잠실,LG,한화,True,기타취소,미세먼지취소
2021-06-30,수,15:00,잠실,LG,KT,True,우천취소,우천취소
2021-07-03,토,18:00,잠실,LG,한화,True,우천취소,우천취소
2021-08-12,목,18:30,잠실,LG,SSG,True,우천취소,우천취소
2021-08-23,월,18:30,잠실,두산,한화,True,우천취소,우천취소
2021-09-07,화,18:30,잠실,두산,키움,True,우천취소,우천취소
2021-10-10,일,14:00,잠실,LG,KT,True,우천취소,우천취소
2022-06-23,목,18:30,잠실,LG,한화,True,우천취소,우천취소
2022-07-13,수,18:30,잠실,LG,KIA,True,우천취소,우천취소
2022-09-16,금,18:30,잠실,LG,KT,True,우천취소,우천취소
2022-10-09,일,14:00,잠실,LG,KT,True,우천취소,우천취소
2023-04-12,수,18:30,잠실,두산,키움,True,기타취소,미세먼지취소
2023-05-06,토,14:00,잠실,두산,LG,True,우천취소,우천취소
2023-05-27,토,14:00,잠실,두산,SSG,True,우천취소,우천취소
2023-05-28,일,14:00,잠실,두산,SSG,True,우천취소,우천취소
2023-07-11,화,18:30,잠실,LG,한화,True,우천취소,우천취소
2023-07-13,목,18:30,잠실,LG,한화,True,우천취소,우천취소
2023-08-10,목,18:30,잠실,두산,삼성,True,우천취소,우천취소
2023-09-13,수,18:30,잠실,두산,SSG,True,우천취소,우천취소
2024-05-05,일,14:00,잠실,LG,두산,True,우천취소,우천취소
2024-06-22,토,17:00,잠실,LG,KT,True,우천취소,우천취소
2024-07-16,화,18:30,잠실,LG,SSG,True,우천취소,우천취소
2024-07-18,목,18:30,잠실,LG,SSG,True,우천취소,우천취소
2024-07-26,금,18:30,잠실,LG,한화,True,우천취소,우천취소
2024-07-27,토,18:00,잠실,LG,한화,True,우천취소,우천취소
2024-09-13,금,18:30,잠실,두산,NC,True,우천취소,우천취소
2024-09-20,금,18:30,잠실,LG,두산,True,우천취소,우천취소
