date,day,time,stadium,home,away,cancelled,reason,note,daily_temp_max,daily_temp_min,daily_temp_mean,daily_precip_sum,daily_rain_sum,daily_precip_hours,daily_wind_max,daily_wind_gust_max,pre_game_precip,pre_game_temp,pre_game_humidity,pre_game_wind,prev_day_precip
2019-03-23,토,14:00,잠실,5두산,한화4,False,정상진행,-,7.7,-3.6,2.1,1.4,0.9,2.0,29.0,56.2,1.4,6.0,61.8,20.5,0.0
2019-03-24,일,14:00,잠실,1두산,한화11,False,정상진행,-,8.0,-3.3,2.1,0.0,0.0,0.0,22.5,43.9,0.0,7.5,37.8,16.9,1.4
2019-03-26,화,18:30,잠실,7두산,키움2,False,정상진행,-,15.0,2.5,8.1,0.0,0.0,0.0,14.6,30.2,0.0,13.5,46.2,12.9,0.0
2019-03-27,수,18:30,잠실,3두산,키움2,False,정상진행,-,16.2,4.4,9.4,0.0,0.0,0.0,29.5,55.8,0.0,12.6,65.5,25.4,0.0
2019-03-28,목,18:30,잠실,4두산,키움5,False,정상진행,-,13.3,1.3,7.2,0.0,0.0,0.0,16.6,31.0,0.0,11.7,42.2,14.5,0.0
2019-04-05,금,18:30,잠실,3두산,NC7,False,정상진행,-,14.8,5.6,9.6,0.0,0.0,0.0,26.6,50.4,0.0,13.0,36.0,22.8,0.0
2019-04-06,토,17:00,잠실,5두산,NC6,False,정상진행,-,14.6,4.8,9.1,5.7,5.7,8.0,14.3,44.3,0.1,13.7,35.2,8.7,0.0
2019-04-07,일,14:00,잠실,3두산,NC5,False,정상진행,-,17.9,3.4,10.5,0.0,0.0,0.0,12.7,22.7,0.0,15.8,33.0,5.5,5.7
2019-04-12,금,18:30,잠실,3LG,두산0,False,정상진행,-,16.0,2.1,9.1,0.2,0.2,2.0,17.4,36.4,0.1,13.8,43.2,15.8,0.0
2019-04-13,토,17:00,잠실,5LG,두산2,False,정상진행,-,16.2,1.6,9.2,0.0,0.0,0.0,17.0,33.5,0.0,15.7,27.0,16.2,0.2
2019-04-14,일,14:00,잠실,0LG,두산8,False,정상진행,-,13.5,4.6,8.3,2.8,2.8,11.0,24.3,46.1,0.7,10.0,71.0,15.8,0.0
2019-04-16,화,18:30,잠실,8두산,SK3,False,정상진행,-,20.4,3.1,11.7,0.0,0.0,0.0,9.9,21.6,0.0,19.1,34.5,7.9,0.0
2019-04-17,수,18:30,잠실,12두산,SK3,False,정상진행,-,19.8,7.0,13.4,0.0,0.0,0.0,16.2,32.8,0.0,17.8,46.8,14.8,0.0
2019-04-18,목,18:30,잠실,3두산,SK4,False,정상진행,-,16.5,8.1,11.8,0.0,0.0,0.0,25.9,49.3,0.0,15.1,70.0,20.1,0.0
2019-04-26,금,18:30,잠실,11두산,롯데8,False,정상진행,-,10.5,7.2,8.8,4.7,4.7,13.0,16.5,31.3,1.1,9.7,75.0,13.9,8.3
2019-04-27,토,17:00,잠실,7두산,롯데0,False,정상진행,-,17.1,5.0,10.5,0.0,0.0,0.0,15.6,29.5,0.0,16.6,41.2,9.1,4.7
2019-04-28,일,14:00,잠실,9두산,롯데2,False,정상진행,-,16.1,9.7,12.4,0.0,0.0,0.0,15.5,31.3,0.0,15.5,45.2,11.2,0.0
2019-05-04,토,14:00,잠실,3두산,LG2,False,정상진행,-,25.4,8.5,16.1,0.0,0.0,0.0,13.5,27.0,0.0,23.4,39.5,6.5,0.0
2019-05-07,화,18:30,잠실,4두산,KIA3,False,정상진행,-,20.7,6.8,13.7,0.0,0.0,0.0,24.0,46.8,0.0,18.3,30.2,22.9,0.1
2019-05-08,수,18:30,잠실,1두산,KIA0,False,정상진행,-,20.3,8.3,14.1,0.0,0.0,0.0,22.6,42.5,0.0,18.3,45.5,21.5,0.0
2019-05-09,목,18:30,잠실,3두산,KIA5,False,정상진행,-,21.0,9.3,14.9,0.0,0.0,0.0,21.1,42.5,0.0,19.6,30.8,17.7,0.0
2019-05-10,금,18:30,잠실,2LG,한화5,False,정상진행,-,25.8,8.6,16.2,0.0,0.0,0.0,18.9,38.2,0.0,23.1,32.8,15.8,0.0
