date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-03-29,금,18:30,수원,suwon,KT,KIA,False,정상진행,-
2019-03-30,토,17:00,수원,suwon,KT,KIA,False,정상진행,-
2019-03-31,일,14:00,수원,suwon,KT,KIA,False,정상진행,-
2019-04-05,금,18:30,수원,suwon,KT,LG,False,정상진행,-
2019-04-06,토,17:00,수원,suwon,KT,LG,False,정상진행,-
2019-04-07,일,14:00,수원,suwon,KT,LG,False,정상진행,-
2019-04-16,화,18:30,수원,suwon,KT,한화,False,정상진행,-
2019-04-17,수,18:30,수원,suwon,KT,한화,False,정상진행,-
2019-04-18,목,18:30,수원,suwon,KT,한화,False,정상진행,-
2019-04-23,화,18:30,수원,suwon,KT,NC,False,정상진행,-
2019-04-24,수,18:30,수원,suwon,KT,NC,False,정상진행,-
2019-04-25,목,18:30,수원,suwon,KT,NC,True,우천취소,우천취소
2019-04-26,금,18:30,수원,suwon,KT,SK,False,정상진행,-
2019-04-27,토,17:00,수원,suwon,KT,SK,False,정상진행,-
2019-04-28,일,14:00,수원,suwon,KT,SK,False,정상진행,-
2019-05-07,화,18:30,수원,suwon,KT,롯데,False,정상진행,-
2019-05-08,수,18:30,수원,suwon,KT,롯데,False,정상진행,-
2019-05-09,목,18:30,수원,suwon,KT,롯데,False,정상진행,-
2019-05-10,금,18:30,수원,suwon,KT,키움,False,정상진행,-
2019-05-11,토,17:00,수원,suwon,KT,키움,False,정상진행,-
2019-05-12,일,14:00,수원,suwon,KT,키움,False,정상진행,-
2019-05-17,금,18:30,수원,suwon,KT,삼성,False,정상진행,-
2019-05-18,토,17:00,수원,suwon,KT,삼성,False,정상진행,-
2019-05-19,일,14:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2019-05-21,화,18:30,수원,suwon,KT,두산,False,정상진행,-
2019-05-22,수,18:30,수원,suwon,KT,두산,False,정상진행,-
2019-05-23,목,18:30,수원,suwon,KT,두산,False,정상진행,-
2019-05-31,금,18:30,수원,suwon,KT,두산,False,정상진행,-
2019-06-01,토,17:00,수원,suwon,KT,두산,False,정상진행,-
2019-06-02,일,17:00,수원,suwon,KT,두산,False,정상진행,-
2019-06-07,금,18:30,수원,suwon,KT,롯데,False,정상진행,-
2019-06-08,토,17:00,수원,suwon,KT,롯데,False,정상진행,-
2019-06-09,일,17:00,수원,suwon,KT,롯데,False,정상진행,-
2019-06-11,화,18:30,수원,suwon,KT,SK,False,정상진행,-
2019-06-12,수,18:30,수원,suwon,KT,SK,False,정상진행,-
2019-06-13,목,18:30,수원,suwon,KT,SK,False,정상진행,-
2019-06-21,금,18:30,수원,suwon,KT,NC,False,정상진행,-
2019-06-22,토,17:00,수원,suwon,KT,NC,False,정상진행,-
2019-06-23,일,17:00,수원,suwon,KT,NC,False,정상진행,-
2019-06-28,금,18:30,수원,suwon,KT,KIA,False,정상진행,-
2019-06-29,토,17:00,수원,suwon,KT,KIA,False,정상진행,-
2019-06-30,일,17:00,수원,suwon,KT,KIA,False,정상진행,-
2019-07-02,화,18:30,수원,suwon,KT,삼성,False,정상진행,-
2019-07-03,수,18:30,수원,suwon,KT,삼성,False,정상진행,-
2019-07-04,목,18:30,수원,suwon,KT,삼성,False,정상진행,-
2019-07-09,화,18:30,수원,suwon,KT,키움,False,정상진행,-
2019-07-10,수,18:30,수원,suwon,KT,키움,True,우천취소,우천취소
2019-07-11,목,18:30,수원,suwon,KT,키움,False,정상진행,-
2019-07-26,금,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2019-07-27,토,18:00,수원,suwon,KT,LG,False,정상진행,-
2019-07-28,일,18:00,수원,suwon,KT,LG,False,정상진행,-
2019-07-30,화,18:30,수원,suwon,KT,한화,False,정상진행,-
2019-07-31,수,18:30,수원,suwon,KT,한화,False,정상진행,-
2019-08-01,목,18:30,수원,suwon,KT,한화,False,정상진행,-
2019-08-10,토,18:00,수원,suwon,KT,한화,False,정상진행,-
2019-08-11,일,17:00,수원,suwon,KT,한화,False,정상진행,-
2019-08-15,목,17:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2019-08-16,금,18:30,수원,suwon,KT,삼성,False,정상진행,-
2019-08-20,화,18:30,수원,suwon,KT,키움,False,정상진행,-
2019-08-21,수,18:30,수원,suwon,KT,키움,False,정상진행,-
2019-08-22,목,18:30,수원,suwon,KT,롯데,False,정상진행,-
2019-08-23,금,18:30,수원,suwon,KT,롯데,False,정상진행,-
2019-08-29,목,18:30,수원,suwon,KT,두산,False,정상진행,-
2019-08-30,금,18:30,수원,suwon,KT,두산,False,정상진행,-
2019-09-03,화,18:30,수원,suwon,KT,LG,False,정상진행,-
2019-09-04,수,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2019-09-05,목,18:30,수원,suwon,KT,KIA,True,우천취소,우천취소
2019-09-06,금,18:30,수원,suwon,KT,KIA,False,정상진행,-
2019-09-07,토,17:00,수원,suwon,KT,SK,True,기타취소,강풍취소
2019-09-08,일,14:00,수원,suwon,KT,SK,False,정상진행,-
2019-09-12,목,17:00,수원,suwon,KT,NC,False,정상진행,-
2019-09-13,금,14:00,수원,suwon,KT,NC,False,정상진행,-
2019-09-14,토,17:00,수원,suwon,KT,키움,False,정상진행,-
2019-09-16,월,18:30,수원,suwon,KT,LG,False,정상진행,-
2019-09-21,토,17:00,수원,suwon,KT,삼성,False,정상진행,-
2019-09-22,일,14:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2019-09-23,월,18:30,수원,suwon,KT,KIA,False,정상진행,-
2019-09-24,화,18:30,수원,suwon,KT,SK,False,정상진행,-
2019-09-26,목,18:30,수원,suwon,KT,LG,False,정상진행,-
2019-09-28,토,17:00,수원,suwon,KT,NC,False,정상진행,-
2019-09-29,일,14:00,수원,suwon,KT,삼성,False,정상진행,-
2020-05-05,화,14:00,수원,suwon,KT,롯데,False,정상진행,-
2020-05-06,수,18:30,수원,suwon,KT,롯데,False,정상진행,-
2020-05-07,목,18:30,수원,suwon,KT,롯데,False,정상진행,-
2020-05-15,금,18:30,수원,suwon,KT,삼성,False,정상진행,-
2020-05-16,토,17:00,수원,suwon,KT,삼성,False,정상진행,-
2020-05-17,일,14:00,수원,suwon,KT,삼성,False,정상진행,-
2020-05-19,화,18:30,수원,suwon,KT,한화,False,정상진행,-
2020-05-20,수,18:30,수원,suwon,KT,한화,False,정상진행,-
2020-05-21,목,18:30,수원,suwon,KT,한화,False,정상진행,-
2020-05-26,화,18:30,수원,suwon,KT,KIA,False,정상진행,-
2020-05-27,수,18:30,수원,suwon,KT,KIA,False,정상진행,-
2020-05-28,목,18:30,수원,suwon,KT,KIA,False,정상진행,-
2020-06-02,화,18:30,수원,suwon,KT,두산,False,정상진행,-
2020-06-03,수,18:30,수원,suwon,KT,두산,False,정상진행,-
2020-06-04,목,18:30,수원,suwon,KT,두산,False,정상진행,-
2020-06-09,화,18:30,수원,suwon,KT,KIA,False,정상진행,-
2020-06-10,수,18:30,수원,suwon,KT,KIA,False,정상진행,-
2020-06-11,목,18:30,수원,suwon,KT,KIA,False,정상진행,-
2020-06-19,금,18:30,수원,suwon,KT,롯데,False,정상진행,-
2020-06-20,토,17:00,수원,suwon,KT,롯데,False,정상진행,-
2020-06-21,일,17:00,수원,suwon,KT,롯데,False,정상진행,-
2020-06-23,화,18:30,수원,suwon,KT,NC,False,정상진행,-
2020-06-24,수,18:30,수원,suwon,KT,NC,True,우천취소,우천취소
2020-06-25,목,18:30,수원,suwon,KT,NC,False,정상진행,-
2020-07-03,금,18:30,수원,suwon,KT,키움,False,정상진행,-
2020-07-04,토,18:00,수원,suwon,KT,키움,False,정상진행,-
2020-07-05,일,17:00,수원,suwon,KT,키움,False,정상진행,-
2020-07-10,금,18:30,수원,suwon,KT,삼성,False,정상진행,-
2020-07-11,토,18:00,수원,suwon,KT,삼성,False,정상진행,-
2020-07-12,일,17:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2020-07-13,월,18:30,수원,suwon,KT,삼성,True,우천취소,우천취소
2020-07-14,화,18:30,수원,suwon,KT,한화,False,정상진행,-
2020-07-15,수,18:30,수원,suwon,KT,한화,False,정상진행,-
2020-07-16,목,18:30,수원,suwon,KT,한화,False,정상진행,-
2020-07-21,화,18:30,수원,suwon,KT,LG,False,정상진행,-
2020-07-22,수,18:30,수원,suwon,KT,LG,True,그라운드사정,그라운드사정
2020-07-23,목,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2020-07-24,금,18:30,수원,suwon,KT,NC,False,정상진행,-
2020-07-25,토,18:00,수원,suwon,KT,NC,False,정상진행,-
2020-07-26,일,17:00,수원,suwon,KT,NC,False,정상진행,-
2020-07-31,금,18:30,수원,suwon,KT,SK,False,정상진행,-
2020-08-01,토,18:00,수원,suwon,KT,SK,False,정상진행,-
2020-08-02,일,17:00,수원,suwon,KT,SK,True,우천취소,우천취소
2020-08-03,월,18:30,수원,suwon,KT,SK,True,우천취소,우천취소
2020-08-11,화,18:30,수원,suwon,KT,SK,False,정상진행,-
2020-08-12,수,18:30,수원,suwon,KT,SK,False,정상진행,-
2020-08-13,목,18:30,수원,suwon,KT,SK,False,정상진행,-
2020-08-22,토,18:00,수원,suwon,KT,NC,True,우천취소,우천취소
2020-08-23,일,17:00,수원,suwon,KT,NC,False,정상진행,-
2020-08-24,월,18:30,수원,suwon,KT,NC,False,정상진행,-
2020-08-25,화,18:30,수원,suwon,KT,키움,False,정상진행,-
