date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2019-04-25,목,18:30,수원,suwon,KT,NC,True,우천취소,우천취소
2019-05-19,일,14:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2019-07-10,수,18:30,수원,suwon,KT,키움,True,우천취소,우천취소
2019-07-26,금,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2019-08-15,목,17:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2019-09-04,수,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2019-09-05,목,18:30,수원,suwon,KT,KIA,True,우천취소,우천취소
2019-09-07,토,17:00,수원,suwon,KT,SK,True,기타취소,강풍취소
2019-09-22,일,14:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2020-06-24,수,18:30,수원,suwon,KT,NC,True,우천취소,우천취소
2020-07-12,일,17:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2020-07-13,월,18:30,수원,suwon,KT,삼성,True,우천취소,우천취소
2020-07-22,수,18:30,수원,suwon,KT,LG,True,그라운드사정,그라운드사정
2020-07-23,목,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2020-08-02,일,17:00,수원,suwon,KT,SK,True,우천취소,우천취소
2020-08-03,월,18:30,수원,suwon,KT,SK,True,우천취소,우천취소
2020-08-22,토,18:00,수원,suwon,KT,NC,True,우천취소,우천취소
2020-09-02,수,18:30,수원,suwon,KT,롯데,True,우천취소,우천취소
2021-04-03,토,14:00,수원,suwon,KT,한화,True,우천취소,우천취소
2021-05-07,금,18:30,수원,suwon,KT,NC,True,기타취소,미세먼지취소
2021-05-08,토,14:00,수원,suwon,KT,NC,True,기타취소,미세먼지취소
2021-05-20,목,18:30,수원,suwon,KT,두산,True,우천취소,우천취소
2021-07-03,토,18:00,수원,suwon,KT,키움,True,우천취소,우천취소
2021-09-07,화,18:30,수원,suwon,KT,KIA,True,우천취소,우천취소
2021-10-08,금,18:30,수원,suwon,KT,키움,True,우천취소,우천취소
2022-04-13,수,18:30,수원,suwon,KT,두산,True,우천취소,우천취소
2022-06-23,목,18:30,수원,suwon,KT,NC,True,우천취소,우천취소
2022-07-13,수,18:30,수원,suwon,KT,삼성,True,우천취소,우천취소
2022-08-30,화,18:30,수원,suwon,KT,두산,True,우천취소,우천취소
2022-10-03,월,14:00,수원,suwon,KT,NC,True,우천취소,우천취소
2023-04-04,화,18:30,수원,suwon,KT,KIA,True,우천취소,우천취소
2023-04-05,수,18:30,수원,suwon,KT,KIA,True,우천취소,우천취소
2023-04-06,목,18:30,수원,suwon,KT,KIA,True,우천취소,우천취소
2023-08-10,목,18:30,수원,suwon,KT,한화,True,우천취소,우천취소
2023-08-23,수,18:30,수원,suwon,KT,KIA,True,우천취소,우천취소
2023-08-29,화,18:30,수원,suwon,KT,삼성,True,우천취소,우천취소
2023-08-30,수,18:30,수원,suwon,KT,삼성,True,우천취소,우천취소
2023-09-20,수,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2024-05-05,일,14:00,수원,suwon,KT,키움,True,우천취소,우천취소
2024-05-07,화,18:30,수원,suwon,KT,NC,True,그라운드사정,그라운드사정
2024-05-15,수,14:00,수원,suwon,KT,롯데,True,우천취소,우천취소
2024-05-26,일,14:00,수원,suwon,KT,키움,True,우천취소,우천취소
2024-06-29,토,17:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2024-07-09,화,18:30,수원,suwon,KT,두산,True,우천취소,우천취소
2024-07-20,토,18:00,수원,suwon,KT,NC,True,우천취소,우천취소
2024-07-23,화,18:30,수원,suwon,KT,SSG,True,우천취소,우천취소
2025-04-12,토,14:00,수원,suwon,KT,삼성,True,우천취소,우천취소
2025-05-09,금,18:30,수원,suwon,KT,롯데,True,우천취소,우천취소
2025-05-10,토,14:00,수원,suwon,KT,롯데,True,우천취소,우천취소
2025-06-20,금,18:30,수원,suwon,KT,NC,True,우천취소,우천취소
2025-06-25,수,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2025-07-17,목,18:30,수원,suwon,KT,한화,True,우천취소,우천취소
2025-08-13,수,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2025-08-14,목,18:30,수원,suwon,KT,LG,True,그라운드사정,그라운드사정
2025-09-17,수,18:30,수원,suwon,KT,LG,True,우천취소,우천취소
2025-09-19,금,18:30,수원,suwon,KT,한화,True,우천취소,우천취소
