date,day,time,stadium,stadium_id,home,away,cancelled,reason,note,daily_temp_max,daily_temp_min,daily_temp_mean,daily_precip_sum,daily_rain_sum,daily_precip_hours,daily_wind_max,daily_wind_gust_max,pre_game_precip,pre_game_temp,pre_game_humidity,pre_game_wind,prev_day_precip
2019-03-29,금,18:30,수원,suwon,KT,KIA,False,정상진행,-,12.1,4.2,7.4,0.0,0.0,0.0,13.7,30.6,0.0,10.2,33.2,11.3,0.0
2019-03-30,토,17:00,수원,suwon,KT,KIA,False,정상진행,-,10.2,1.8,4.6,5.6,4.9,15.0,31.7,61.9,2.2,7.4,66.5,27.0,0.0
2019-03-31,일,14:00,수원,suwon,KT,KIA,False,정상진행,-,6.7,1.2,3.8,0.0,0.0,0.0,28.5,52.2,0.0,5.8,48.5,23.2,5.6
2019-04-05,금,18:30,수원,suwon,KT,LG,False,정상진행,-,14.2,4.6,8.6,0.0,0.0,0.0,23.5,46.4,0.0,12.1,36.0,20.4,0.0
2019-04-06,토,17:00,수원,suwon,KT,LG,False,정상진행,-,14.2,1.5,8.1,5.1,5.1,7.0,19.1,56.5,0.4,13.8,32.2,7.0,0.0
2019-04-07,일,14:00,수원,suwon,KT,LG,False,정상진행,-,18.0,3.8,10.4,0.0,0.0,0.0,14.3,28.4,0.0,16.4,26.8,7.0,5.1
2019-04-16,화,18:30,수원,suwon,KT,한화,False,정상진행,-,20.4,3.3,11.5,0.0,0.0,0.0,10.2,18.4,0.0,19.2,32.0,6.2,0.0
2019-04-17,수,18:30,수원,suwon,KT,한화,False,정상진행,-,19.7,5.9,12.9,0.0,0.0,0.0,13.4,30.2,0.0,17.4,44.5,12.1,0.0
2019-04-18,목,18:30,수원,suwon,KT,한화,False,정상진행,-,16.6,7.0,11.7,0.0,0.0,0.0,20.8,41.4,0.0,15.4,67.8,17.9,0.0
2019-04-23,화,18:30,수원,suwon,KT,NC,False,정상진행,-,25.8,12.0,18.0,0.3,0.3,1.0,16.4,31.0,0.0,22.8,50.5,12.0,0.0
2019-04-24,수,18:30,수원,suwon,KT,NC,False,정상진행,-,23.4,12.4,16.4,9.1,9.1,10.0,17.5,34.6,0.0,20.3,63.8,14.0,0.3
2019-04-25,목,18:30,수원,suwon,KT,NC,True,우천취소,우천취소,18.3,9.4,13.5,11.0,11.0,12.0,17.0,34.2,7.6,13.8,85.8,10.1,9.1
2019-04-26,금,18:30,수원,suwon,KT,SK,False,정상진행,-,10.5,7.0,8.4,2.0,2.0,10.0,16.5,28.8,1.1,9.3,78.5,14.3,11.0
2019-04-27,토,17:00,수원,suwon,KT,SK,False,정상진행,-,16.8,3.1,9.9,0.0,0.0,0.0,11.4,24.8,0.0,16.1,42.0,9.7,2.0
2019-04-28,일,14:00,수원,suwon,KT,SK,False,정상진행,-,16.3,8.1,11.7,0.3,0.3,2.0,13.6,31.0,0.0,15.5,44.0,8.6,0.0
2019-05-07,화,18:30,수원,suwon,KT,롯데,False,정상진행,-,20.2,4.8,12.9,0.0,0.0,0.0,19.4,40.3,0.0,18.1,26.5,18.2,0.2
2019-05-08,수,18:30,수원,suwon,KT,롯데,False,정상진행,-,20.3,6.9,13.7,0.0,0.0,0.0,19.9,38.9,0.0,18.9,40.5,18.8,0.0
2019-05-09,목,18:30,수원,suwon,KT,롯데,False,정상진행,-,20.7,9.1,14.4,0.0,0.0,0.0,17.8,38.2,0.0,19.1,27.5,14.0,0.0
2019-05-10,금,18:30,수원,suwon,KT,키움,False,정상진행,-,24.9,7.6,15.7,0.0,0.0,0.0,15.9,33.8,0.0,21.5,33.2,14.3,0.0
2019-05-11,토,17:00,수원,suwon,KT,키움,False,정상진행,-,26.0,10.6,17.1,0.0,0.0,0.0,16.6,36.0,0.0,23.4,35.5,14.2,0.0
2019-05-12,일,14:00,수원,suwon,KT,키움,False,정상진행,-,26.2,10.2,18.5,0.0,0.0,0.0,11.7,27.7,0.0,25.2,32.8,8.5,0.0
2019-05-17,금,18:30,수원,suwon,KT,삼성,False,정상진행,-,29.3,14.6,21.9,0.0,0.0,0.0,11.7,25.2,0.0,27.1,40.8,8.9,0.0
2019-05-18,토,17:00,수원,suwon,KT,삼성,False,정상진행,-,25.5,18.0,21.3,0.4,0.4,3.0,22.5,50.4,0.0,24.5,45.2,21.3,0.0
2019-05-19,일,14:00,수원,suwon,KT,삼성,True,우천취소,우천취소,20.1,17.7,19.0,19.0,19.0,16.0,18.0,31.7,6.8,19.1,88.2,12.6,0.4
2019-05-21,화,18:30,수원,suwon,KT,두산,False,정상진행,-,20.8,9.9,15.0,0.0,0.0,0.0,21.2,42.8,0.0,19.7,46.5,18.3,7.8
